language_code,category,region_code,Term_Phrase_Item,notes,tags
de,REGIONAL_SLANG,Bavaria,Dirndl,Traditional dress for women.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Lederhosen,Traditional leather trousers for men.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Biergarten,Beer garden.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Semmel,Bread roll (instead of Brötchen).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Brezn,Pretzel.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Schmarrn,Nonsense; also a type of fluffy shredded pancake (Kaiserschmarrn).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Grias God / Grüß Gott,Hello,"RegionalSlang,Regional,Bavaria,Greeting"
de,REGIONAL_SLANG,Bavaria,Servus,Hello / Goodbye (also used in Austria).,"RegionalSlang,Regional,Bavaria,Austria,Greeting,Farewell"
de,REGIONAL_SLANG,Bavaria,Pfiati / Pfiat di / Pfiat Eich,"Goodbye (to one person / to multiple people, informal).","RegionalSlang,Regional,Bavaria,Farewell"
de,REGIONAL_SLANG,Bavaria,Hock di her da!,Sit down here!,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Pack ma's!,Let's do it! / Let's get started!,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Schleich di!,Get lost! / Go away! (rude).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Zipfeklatscher,"Idiot, fool (vulgar)","RegionalSlang,Regional,Bavaria,Insult"
de,REGIONAL_SLANG,Bavaria,Norgerl,The last bit of beer/drink in a glass.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Scherzerl,The first or last crusty piece of a loaf of bread.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Krapfen,Doughnut (Berliner elsewhere).,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Watschn,A slap in the face.,"RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Gspusi,"Affair, fling; or sweetheart.","RegionalSlang,Regional,Bavaria"
de,REGIONAL_SLANG,Bavaria,Noagerlzwuzler,Someone who drinks the dregs from other people's glasses (humorous insult).,"RegionalSlang,Regional,Bavaria,Insult"
de,REGIONAL_SLANG,Swabia,-le,Diminutive suffix,"RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Lätsch,Face (often negative); also an Lätsch zieha - to pull a face.,"RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Spleiß,Splinter.,"RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Kehrwoche,Cleaning week (a unique Swabian tradition of shared cleaning duties in apartment buildings).,"RegionalSlang,Regional,Swabia,UniqueConcept"
de,REGIONAL_SLANG,Swabia,Muggeseggele,A fly's scrotum (humorous term for a very small unit of measurement).,"RegionalSlang,Regional,Swabia,Wordplay"
de,REGIONAL_SLANG,Swabia,Gschwend,"Quick, fast.","RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Ade,Farewell.,"RegionalSlang,Regional,Swabia,Farewell"
de,REGIONAL_SLANG,Swabia,Grüß dich / Griaßde,Hello (informal).,"RegionalSlang,Regional,Swabia,Greeting"
de,REGIONAL_SLANG,Swabia,Salli!,"Hi! (influenced by French ""Salut"").","RegionalSlang,Regional,Swabia,Greeting"
de,REGIONAL_SLANG,Swabia,Heidenei!,Exclamation of surprise (Wow! / Good heavens!).,"RegionalSlang,Regional,Swabia,Interjection"
de,REGIONAL_SLANG,Swabia,Viertelesschlotzer,"Someone who enjoys drinking a Viertele (0.25l) of wine, typical for the region.","RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Bräschdleng,Strawberries.,"RegionalSlang,Regional,Swabia"
de,REGIONAL_SLANG,Swabia,Bobbele,"Baby, small child (Baden area, close to Swabia).","RegionalSlang,Regional,Swabia,Baden"
de,REGIONAL_SLANG,Northern Germany,Schnacken,To talk or chat (particularly Hamburg).,"RegionalSlang,Regional,Northern Germany,Hamburg"
de,REGIONAL_SLANG,Northern Germany,Klönen,"To talk or chat, often leisurely (particularly Hamburg).","RegionalSlang,Regional,Northern Germany,Hamburg"
de,REGIONAL_SLANG,Northern Germany,Schietwetter,Shitty weather (common due to coastal climate).,"RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Angeschickert,"Slightly intoxicated, tipsy.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Lütte,(The small) child; also used for small things,"RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Alsterwasser,"Mix of beer and lemonade (Hamburg, similar to Radler).","RegionalSlang,Regional,Northern Germany,Hamburg"
de,REGIONAL_SLANG,Northern Germany,Moin,Hello (used throughout the day).,"RegionalSlang,Regional,Northern Germany,Greeting"
de,REGIONAL_SLANG,Northern Germany,Moinsen,Playful variation of Moin.,"RegionalSlang,Regional,Northern Germany,Greeting"
de,REGIONAL_SLANG,Northern Germany,Fischkopp,"Fish head (playful, sometimes derogatory term for people from the coast).","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Deern,"Girl, young woman.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Jung,"Boy, young man.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Kiek mol wedder in!,Stop by again sometime!,"RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Tüdelkram,"Nonsense, fiddly stuff.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Diggedaggedingen,Thingamajig.,"RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Plietsch,"Clever, smart.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Schmuddelwedda,"Dirty weather, drizzly and grey.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Rumkommen,"To come over, visit.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Klütern,"To dawdle, to waste time.","RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Tach auch,Hello too (response to Tach).,"RegionalSlang,Regional,Northern Germany,Greeting"
de,REGIONAL_SLANG,Northern Germany,Schmöken,To smoke (tobacco).,"RegionalSlang,Regional,Northern Germany"
de,REGIONAL_SLANG,Northern Germany,Quiddje,"A newcomer to Hamburg, someone not originally from there (can be slightly derogatory).","RegionalSlang,Regional,Northern Germany,Hamburg"
de,REGIONAL_SLANG,Rhineland,Muckefuck,Poor quality or instant coffee,"RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Fuckackig,Rotten (note: fickrig is also used for fidgety).,"RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Poppen,Sex (colloquial).,"RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Fuppes,Football (soccer).,"RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Großkotz,"Show-off, braggart.","RegionalSlang,Regional,Rhineland,Insult"
de,REGIONAL_SLANG,Rhineland,Tütenüggel,Wimp.,"RegionalSlang,Regional,Rhineland,Insult"
de,REGIONAL_SLANG,Rhineland,Nickelig,"Stubborn, fussy.","RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Alaaf,Carnival greeting in Cologne (vs. Helau in Düsseldorf/Mainz).,"RegionalSlang,Regional,Rhineland,Cologne,CulturalReference"
de,REGIONAL_SLANG,Rhineland,Kamelle,Sweets thrown during Carnival parades.,"RegionalSlang,Regional,Rhineland,CulturalReference"
de,REGIONAL_SLANG,Rhineland,Bützje,A little kiss (often a peck on thecheek during Carnival).,"RegionalSlang,Regional,Rhineland,CulturalReference"
de,REGIONAL_SLANG,Rhineland,Kölsch,The beer from Cologne and the local dialect.,"RegionalSlang,Regional,Rhineland,Cologne"
de,REGIONAL_SLANG,Rhineland,Altbier,The dark beer from Düsseldorf.,"RegionalSlang,Regional,Rhineland,Düsseldorf"
de,REGIONAL_SLANG,Rhineland,Lecker Mädche,Pretty girl (Cologne).,"RegionalSlang,Regional,Rhineland,Cologne"
de,REGIONAL_SLANG,Rhineland,Halve Hahn,Rye roll with cheese (Cologne specialty),"RegionalSlang,Regional,Rhineland,Cologne"
de,REGIONAL_SLANG,Rhineland,Pittermännchen,A small 10-liter keg of Kölsch.,"RegionalSlang,Regional,Rhineland,Cologne"
de,REGIONAL_SLANG,Rhineland,Tach,Hello (short for Guten Tag).,"RegionalSlang,Regional,Rhineland,Greeting"
de,REGIONAL_SLANG,Rhineland,Wat gibbet?,What's up? / What's new? (Was gibt es?),"RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Strüssjer,Small bouquet of flowers (thrown during Carnival).,"RegionalSlang,Regional,Rhineland,CulturalReference"
de,REGIONAL_SLANG,Rhineland,Fisternöll,"A secret love affair, a clandestine meeting (often humorous).","RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Rhineland,Döneken,"A little story, an anecdote.","RegionalSlang,Regional,Rhineland"
de,REGIONAL_SLANG,Hesse,Babbeln,To chat or talk.,"RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Abbelwoi / Ebbelwoi,Apple wine (regional specialty).,"RegionalSlang,Regional,Hesse,CulturalReference"
de,REGIONAL_SLANG,Hesse,Bembel,Specific type of pitcher for apple wine.,"RegionalSlang,Regional,Hesse,CulturalReference"
de,REGIONAL_SLANG,Hesse,Geripptes,Special type of glass for apple wine (ribbed glass).,"RegionalSlang,Regional,Hesse,CulturalReference"
de,REGIONAL_SLANG,Hesse,Ei Gude! / Ei Gude wie?,"Hello! / Hello, how are you?","RegionalSlang,Regional,Hesse,Greeting"
de,REGIONAL_SLANG,Hesse,Dschö!,Goodbye (casual).,"RegionalSlang,Regional,Hesse,Farewell"
de,REGIONAL_SLANG,Hesse,Kreppel / Kräppel,"Doughnut, Berliner.","RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Handkäs mit Musik,"A sour milk cheese specialty, often served with onions (""music"").","RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Gelle?,"Right? / Isn't it? (tag question, like oder?).","RegionalSlang,Regional,Hesse,FillerWord"
de,REGIONAL_SLANG,Hesse,Schnuud,Mouth (can be rude),"RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Simmer,(Wir) sind (We are),"RegionalSlang,Regional,Hesse,Shortcut"
de,REGIONAL_SLANG,Hesse,Labbeduddel,"Idiot, clumsy person.","RegionalSlang,Regional,Hesse,Insult"
de,REGIONAL_SLANG,Hesse,Deetz,Head.,"RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Schlappmaul,Someone who talks too much or can't keep a secret.,"RegionalSlang,Regional,Hesse"
de,REGIONAL_SLANG,Hesse,Dribbdebach & Hibbdebach,Over there & over here (referring to sides of the Main river in Frankfurt).,"RegionalSlang,Regional,Hesse,Frankfurt"
de,REGIONAL_SLANG,Saxony,Nu!,"Well! / Yes! / Okay! (versatile interjection, very typical).","RegionalSlang,Regional,Saxony,Interjection"
de,REGIONAL_SLANG,Saxony,Bemme,"Slice of bread, sandwich.","RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Gägs / Gecks,"Fun, joke.","RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Diddschn,"To touch lightly, to nudge.","RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Verduschn,"To disappear, to leave quietly.","RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Hornzsche,Croissant.,"RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Nischl,Head.,"RegionalSlang,Regional,Saxony"
de,REGIONAL_SLANG,Saxony,Mäggern,To complain (like meckern).,"RegionalSlang,Regional,Saxony"
de,INTERNET_SLANG,,cringe,Cringe (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,random,Random (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,safe,"Safe, for sure (borrowed from English)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,lit,"Lit, awesome (borrowed from English)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,goofy,Goofy (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,no cap,No cap (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,sick,"Sick, cool (borrowed from English)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,vibe,Vibe (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,wack,Wack (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,yolo,YOLO (You Only Live Once),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,sus,"suspicious (cultural reference from ""Among Us"")","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,chillen,To chill (adapted from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,LOL (Laughing Out Loud),(borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,OMG (Oh Mein Gott / Oh My God),(borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,diss,To diss (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,lost,"Lost, clueless (borrowed from English)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,wild / wyld,"Wild, crazy (borrowed from English)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,kp / kP,kein Plan (no idea),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,kA,keine Ahnung (no idea),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,hdl / HDL,"Hab dich lieb (Love you - informal, for friends/family)","InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,hdgdl / HDGDL,Hab dich ganz doll lieb (Love you lots - informal),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,ild / ILD,Ich liebe dich (I love you - romantic),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,vlt / vllt,vielleicht (maybe),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,N8,Nacht (night),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,WE,Wochenende (weekend),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,cu / CU,See you (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,gg,Good game (used in online gaming),"InternetSlang,Internet,Abbreviation,Gaming"
de,INTERNET_SLANG,,np,No problem (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,btw,By the way (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,thx,Thanks (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,wd,Wieder da (back again / I'm back),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,asap,As soon as possible (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,wg,Wohngemeinschaft (shared flat/apartment),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,idk,I don't know (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,jk,Just kidding (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,mMn,meiner Meinung nach (in my opinion),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,IRL,In Real Life (borrowed from English),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,G&K,Gruß und Kuss (Greeting and kiss - often at the end of messages),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,LG,Liebe Grüße (Kind regards / Best wishes - common sign-off),"InternetSlang,Internet,Abbreviation"
de,INTERNET_SLANG,,LTAB,Lieber tot als blöd (Better dead than stupid),"InternetSlang,Internet,Abbreviation"
