ID,TERM,NOTES
330,Estar al horno,"The phrase ""estar al horno"" literally translates to ""to be in the oven.""  It describes the predicament of someone facing serious consequences or heat due to a lack of preparation or foresight, specifically when they are unable to find a solution to a problem.  Adding ""con papas"" (with potatoes) intensifies the expression, exaggerating the severity of the situation.  It implies a feeling of being trapped in a difficult situation with no easy way out."
331,Sacarla Barata,"The idiom ""sacarla barata"" literally translates to ""get it out cheap.""  It's used to describe a situation where someone narrowly avoids a negative consequence, such as a serious accident or financial loss.  The example given illustrates its use after a near-miss accident where nothing bad happened. It can also refer to enjoying something without spending any money. The expression implies luck and fortunate escape from a potentially harmful or costly situation."
332,Tener una vena,"This Argentine idiom translates to ""to have a vein.""  It's similar to the English expression ""popping a vein,"" which describes someone becoming extremely upset or stressed.  In the Argentine slang version, instead of the vein ""popping,"" the person simply ""has"" one, implying a state of intense anger or frustration."
340,acabada,"""Acabada"" is lunfardo slang (Argentine slang) with two main meanings: 1. Secretions associated with orgasm. 2. Orgasm, sexual climax.  The entry notes that the DRAE (Spanish Royal Academy Dictionary) lists it as colloquial Uruguayan slang with meanings of 'semen' and 'orgasm'.  It also points out that 'acabar' (to finish/end) is colloquially used in several countries, including Argentina, to mean 'to reach orgasm'.  The masculine form 'acabador' describes a person (prostitute) who frequently brings their clients to orgasm, or a woman who orgasms multiple times during sex.  The word is explicitly marked as slang."
343,Ají putaparió,"A colloquial term for the fruit of the ají cumbarí pepper.  The addition of ""putaparió"" adds a strong informal and potentially vulgar connotation. The exact meaning and level of offense depend heavily on context and tone."
352,ancho,"Masculine noun, colloquial.  Means 'ace' of each suit in a deck of cards."
361,asalto,"The word ""asalto"" primarily means ""robbery"" or ""attack"".  However, colloquially (coloq.), it also refers to a surprise party where friends unexpectedly gather at someone's house, bringing food and drinks. This informal usage contrasts sharply with the word's standard meaning."
367,azúcar impalpable,"Powdered sugar or icing sugar, a pulverized sugar used in confectionery and pastry making.  The entry also includes definitions for ""azuleño"" (native of or related to Azul, Buenos Aires province) and ""baboso"" (a colloquial term for a fawning or excessively obsequious person, particularly towards those of their preferred gender)."
368,babuchas,"Feminine plural noun. Loose women's trousers that fit elastically at the bottom of the leg, generally not reaching the ankle.  The expression ""a babuchas"" (adverbial locution) means ""on one's back"", ""on one's shoulders"", or ""on one's back"". The Royal Spanish Academy (RAE) defines ""babucha"" as a 'light, heelless shoe, mainly used by Moors'. The entry notes that ""a babuchas"" is colloquial usage in Argentina and Uruguay. The form 'a babuchas' is considered more usual than 'a babucha'."
379,beso,"""Beso de lengua"": A very passionate kiss where tongues are in contact.
""Beso negro"": A kiss given on another person's anus to sexually stimulate them.
""bestiún, na"": Lunfardo (Argentine slang) for a rude and ignorant person. The feminine form ""bestiuna"" is mentioned as being used in Buenos Aires, although not included in the DRAE (Spanish Royal Academy Dictionary). The DRAE lists ""bestiún"" as colloquial usage in Uruguay."
386,bobe,Feminine colloquial term for a grandmother of Hebrew origin.
388,boga,"Slang term used in Lunfardo (Argentine slang). It means ""lawyer"" or ""doctor of law""."
389,bogey,"The entry provides two meanings for ""bogey"":
1. In golf, a bogey is a score one stroke over par on a hole.  This is the standard definition.
2. In colloquial Argentine Spanish, specifically related to the Atlanta football club, ""bohemio"" (bohemian) is used as slang to refer to a fan of the club.  It can also be used adjectivally to describe anything related to the club."
390,bolacear,"In colloquial Argentinian Spanish, ""bolacear"" means to lie or to tell tall tales.  The entry notes that the DRAE (Diccionario de la Real Academia Española) and DIHA (Diccionario de Hispanoamericano) list ""bolacero"" (one who habitually lies or talks nonsense) as an Argentinism."
393,bolonqui,"A lunfardo (Argentine slang) term meaning a quilombo (a chaotic situation), discussion, brawl, or disorder.  The entry also includes definitions for related terms:  'bolsero' (a person who sells or rents cell phones, sometimes illegally), which can also be used adjectivally to describe the phone itself; and 'boludo/a' (a colloquial term used as a form of address among young people who have a degree of familiarity, similar to 'dude' or 'mate', although dictionaries also note its use as meaning 'stupid' or 'unintelligent')."
399,bostero/bostera,"Adjective, masculine and feminine. Colloquial term for a fan of the Boca Juniors football club.  The example sentence shows its use:  ""Le toca al gallego tocar este son para una bostera"" (It's the Galician's turn to play this song for a Boca Juniors fan).  The entry also indicates that it can be used as an adjective related to the club."
400,colgar los botines,"Literally translates to ""hang up the boots.""  It means to abandon the practice of football (soccer). The phrase is used colloquially and also within Lunfardo (Argentine slang).  The example sentence shows its use in a broader context of abandoning an activity."
404,bulo,"Masculine noun. Lunfardo slang term for 'apartment', especially a bachelor's apartment."
408,"cabrio, cabrón, cachivachero","The entry contains three terms:

* **cabrio:**  'Cabriolé', meaning a convertible car.
* **cabrón:**  A lunfardo (Argentine slang) term for a person with a bad character.  The DRAE (Spanish Royal Academy Dictionary) lists this as a Mexicanism and also notes its use to mean 'person who does bad things', without regional marking.
* **cachivachero:** A colloquial term for a person who keeps unnecessary things. The DRAE only registers its use in Chile, Cuba, and Uruguay."
414,cajeta,"Vulva; by extension, vagina.  This is a slang term, marked as lunfardo (lunf. gros.), indicating it belongs to the Lunfardo dialect, a type of Argentine slang originating in the underworld of Buenos Aires. The abbreviation 'gros.' likely indicates it's a coarse or vulgar term."
416,camisetear,"In football and other contact sports, to grab a rival player by their shirt, preventing them from moving freely. This is a colloquial term."
418,Sacar a alguien canas verdes,"To cause someone worry and displeasure with continuous setbacks.  While the DRAE (Spanish Royal Academy Dictionary) lists it as colloquialism used in Peru and Uruguay, this entry suggests its use in Argentina. Meanings related to the police are found in reference dictionaries."
419,canalla,"Adjective, common colloquialism.  Fan of the Rosario Central football club.  Also, colloquially, related to that club."
420,cantito,"A colloquial term referring to verses sung by a more or less large group of people (football fans, attendees of a political event, etc.) to the tune of a known song.  These verses express support for their own side, discontent, or any other demand or mood.  The entry also notes that 'cantito' can refer to a peculiar accent of speech in a specific region."
436,chamuyar,"Intransitive verb (lunfardo): To speak or write with persuasive intent, seeking approval, etc., but lacking solid arguments or knowledge.  Transitive verb (lunfardo): To flirt, to say sweet nothings to someone with the purpose of seducing them. Transitive/Intransitive verb (lunfardo): To lie.  The DIHA (Diccionario de la Lengua Española Histórica) prefers the form with 'elle' and presents 'to speak, particularly to convince about something' and 'to date, to flirt'. The DRAE (Diccionario de la Real Academia Española) registers 'chamullar', only marked as colloquialism, with the meaning 'to speak', and 'chamuyar', marked as Uruguayanism with the meaning 'to say chamuyos' (chamuyos being a related term implying deceitful or flattering talk).  The term carries connotations of insincerity and manipulative speech."
441,checonato,"Lunfardo slang term for 'cheque' (check) or 'auto' (car), 'coche' (car).  The entry indicates it's a masculine noun."
442,chiche bombón,"The term 'chiche bombón' is a lunfardo (Argentine slang) expression meaning ""beautiful"" or ""gorgeous.""  The entry notes that the word 'chiche' itself has multiple meanings according to the DRAE (Diccionario de la Real Academia Española) and DIHA (Diccionario de Hispanoamérica) including 'small, delicate, pretty' (used in Southern Cone countries), 'woman's breast' (used in Northwest Argentina), 'toy', and 'delicate, pretty, and usually small thing'.  The usage example provided is ""El departamento quedó chiche bombón"" (The apartment became chiche bombón), illustrating its use to describe something beautiful."
443,chiflete,"A slang term (lunf. - lunfardo) for a current of cold air, especially one that passes through an opening."
445,chizito,"Small, yellow, cylindrical snack made of corn flour, cheese, and salt, approximately 1.5 cm in diameter and no more than 4 cm long.  It's typically used in the plural.  In Lunfardo (Argentine slang), it's also a vulgar slang term for a small penis."
447,chochán,"The word ""chochán"" has two meanings in Argentinian Lunfardo slang.  1. It refers to a fat person (""Al final, tu amigo era un chochán"" - In the end, your friend was a fat guy). 2. It can also mean a transport inspector who controls the service of a means of transport.  The entry also includes the related term ""choto"", which has multiple meanings: a vulgar term for penis; an adjective describing something ugly, unpleasant, or of poor quality (""Cada libro choto que leés es uno excelente que te perdés"" - Every crappy book you read is an excellent one you're missing); an adjective describing a person as mean or miserable; and an adjective/noun referring to a man suffering from impotence, often used in the expression ""viejo choto"" (old choto), which also disparagingly refers to an elderly person in general. The DIHA dictionary lists 'chota' (related to choto) as meaning 'penis' and marks it as vulgar."
456,cobani,Lunfardo slang term for a police officer.
459,coiffeur,"A slang term for ""peluquero"" (hairdresser).  The entry provides the pronunciation as [cuafer], indicating a phonetic transcription of how it's pronounced in Argentine Spanish."
460,cola,"The word ""cola"" in Argentinian Spanish colloquially means ""buttocks"" or ""rear end"", as evidenced by the example sentence: ""No se animaba a tener relaciones por la cola"" (He/She didn't dare to have relations because of the rear end).  The entry notes that the Spanish Royal Academy (DRAE) lists this usage as a colloquial euphemism in Argentina, Colombia, and Uruguay.  However, the DRAE also lists a different meaning, without regional marking, referring to a 'line of people waiting their turn'. The DIHA (another dictionary) adds a third meaning: 'being last in a competition or contest'.  The entry also mentions a fourth meaning, again without regional marking, referring to a selection of film clips shown before a movie's premiere."
468,"conchero, concheto, conchudo, copado","The entry contains multiple slang terms.  'conchero' refers to a metal or hard plastic device used by burlesque dancers to cover their vulva. 'concheto' describes a person, usually young, who belongs to or appears to belong to a wealthy social class. It can also describe a place or thing frequented by or typical of such people. 'conchudo' means a mean, malicious person; while the DRAE defines it as 'shameless', its Argentine usage carries a stronger connotation. 'copado' means enthusiastic, attracted to something or someone, or very pleasant (of a person or place).  The entry notes variations in meaning and usage compared to the DRAE (Spanish Royal Academy Dictionary) and highlights the lunfardo (Argentine slang) origin of several terms."
469,copar,"The verb 'copar' in Argentinian Lunfardo (slang) has multiple meanings, depending on the context and usage.  It can mean:

1. **To successfully face a danger, problem, or compromising situation:**  (e.g., ""Fue y copó"" - He went and faced it successfully).
2. **To intervene in a situation exhibiting valor and taking responsibility for the consequences:** (e.g., ""Quiso copar la parada y lo sacaron cagando"" - He tried to take charge of the situation and they kicked him out).
3. **To overpower, subdue, conquer:** (e.g., ""Cuando coparon el pueblo de Garín"" - When they conquered the town of Garín).
4. **To be attractive, interesting:** (e.g., ""Más que seguramente a alguna le copará la idea"" - Surely, the idea will appeal to someone).
5. **To captivate, enchant the senses:** (e.g., ""Ese tipo me recopa"" - That guy captivates me).
6. **To get enthusiastic:** (e.g., ""Me copé con esto y no lo largo más"" - I got enthusiastic about this and I won't let go).
7. **To willingly accede to a request:** (e.g., ""El chabón se copó y lo hizo en un toque"" - The guy agreed and did it in a flash).
8. **Coparse mal:** To become aggressive. (e.g., ""Le pedí que bajara la música y se copó remal la mina"" - I asked her to turn down the music and the woman got really aggressive).
9. **Copar la parada:** To take charge of a situation. This is a common expression.

The word is strongly associated with Lunfardo, the slang of Buenos Aires, indicating informal and often colloquial usage."
470,corralito,"The term ""corralito"" has two meanings.  In colloquial usage, it refers to a set of economic measures whose main impact on the population was the restriction of the use of cash.  In the context of soccer (fútbol), it refers to the technical area, a delimited space next to each bench where coaches are authorized to move during the match to give instructions."
473,cráneo,"In Lunfardo (Argentine slang), ""cráneo"" (literally, ""skull"") means a very intelligent person.  It can sometimes be used disrespectfully. The DRAE (Spanish Royal Academy Dictionary) lists the meaning 'very intelligent person' as colloquial usage in Uruguay and Venezuela."
477,cuatro,"The word ""cuatro"" (four) has several slang meanings in Argentine Spanish, all related to postures or positions:

1.  A colloquial term for a position where a person stands on one leg, extending it and crossing the other leg so the calf is parallel to the floor, usually to test balance.  Almost always used with the verb ""hacer"" (to do).
2.  An obsolete colloquial term for a position where a person supports one foot on the floor and the back and sole of the other foot against a wall or other vertical element.  Almost always used with the verb ""hacer"" (to do).
3.  ""En cuatro patas"" (on all fours): A colloquial locution meaning on all fours, on hands and knees, the position a person takes or walks in, supporting themselves on their knees and hands or elbows on the floor.
4.  ""En cuatro"" (on four): A colloquial locution referring to the position a person takes on all fours to be sexually stimulated or penetrated.
5.  ""Cuatro de copas"" (Four of Cups): Lunfardo (Argentine slang) term for an insignificant person."
481,culear,"The verb ""culear"" is a vulgar slang term in Argentina.  Its primary meaning is to sodomize.  In Buenos Aires, it's used interchangeably to mean ""to have sexual intercourse.""  The DRAE (Spanish Royal Academy Dictionary) lists ""to have sexual intercourse"" as a colloquialism used in Argentina, Chile, and Colombia, while the DIHA (another dictionary) does not include this meaning.  The adjective ""culiado"" is also colloquial and vulgar, used in Córdoba and Northwest Argentina. It means ""despicable person"" and can be used as an insult equivalent to ""hijo de puta"" (son of a bitch), as in ""Porteño culiado"" (despicable porteño). It can also be used as a term of address among young people with some degree of familiarity."
489,diego,"Slang term with two meanings:
1.  Adjective meaning ""ten, nine, and one"" (referencing the numbers 10, 9, and 1).
2.  Noun meaning ""ten percent"" (referencing a percentage).
3.  Noun meaning ""bribe, gift used to bribe"".  The term is marked as lunfardo, indicating it belongs to the lunfardo slang of Argentina, particularly associated with the working-class culture of Buenos Aires."
494,dolobu,An Argentine lunfardo slang term meaning 'stupid' or 'idiot'.  It's a shortened or variant form of 'boludo'.
502,encamada,Feminine noun. Colloquial term for the act of having sexual intercourse with another person.
508,faso,"Masculine noun. Slang term for a marijuana cigarette.  Also refers to marijuana itself.  The DIHA (Diccionario de Hispanoamérica) and DRAE (Diccionario de la Real Academia Española) dictionaries list the term with the traditional meaning of 'cigarette', noting colloquial usage in Argentina and Uruguay."
509,fercho,"Masculine slang term for a driver or chauffeur.  The abbreviation 'lunf.' suggests it originates from Lunfardo, the argot of the Buenos Aires underworld."
512,fideo,"The primary meaning, according to the DRAE (Spanish Royal Academy Dictionary), is 'thin string-shaped pasta'.  It is also used colloquially to refer to a very thin person.  However, in Argentina (as noted by the DIHA), its usage is broader, encompassing pasta molded into various shapes.  The provided example shows its use as lunfardo slang for 'penis'.  The example sentence translates roughly to: ""Yesterday Yayi showed me his fideo. It was like a small chizito (a type of small, thin pastry), but hairy..."""
514,finde,"Shortened form of ""fin de semana"" (weekend).  Used colloquially (coloq.) in Argentina."
515,finoli,"Adjective, commonly used lunfardo (Argentine slang).  Refers to a person who possesses or affects fineness and delicacy. The DRAE (Spanish Royal Academy Dictionary) marks it as colloquial Uruguayanism and refers to 'finolis', which means 'said of a person: who affects fineness and delicacy'."
520,forrear,"The verb 'forrear' in Lunfardo (Argentine slang) means to mistreat, belittle, or humiliate.  It also has a second meaning as a noun and adjective describing a stupid or foolish person.  Additionally, it can be used as a form of address between young people who have a degree of familiarity.  The phrase 'el (quinto) forro de las pelotas' is a vulgar euphemism replacing 'pelotas' (balls) in expressions like 'me da por las pelotas' (it bothers me a lot) or 'se me canta en las pelotas' (I feel like it).  The DRAE (Spanish Royal Academy Dictionary) and DIHA (Dictionary of Hispanic Americanisms) note that 'forro' is also used as vulgar slang in Argentina and Uruguay to mean 'condom'."
525,freezer,"The word ""freezer"" (fríser) is used in Argentina to refer to a freezer that maintains a temperature of approximately 18 degrees below zero, in which food is preserved for several months.  The entry highlights that this is slang, suggesting it might be a colloquialism or a less formal term compared to a more technical or formal equivalent."
527,frizar,"To preserve a food item in the freezer.  This is presented as slang, indicating it might be a colloquial or informal way to describe freezing food in Argentina."
530,fuck,"In Argentinian Spanish, ""fuck"" can be expressed as ""fáquiu o fac iú"". It's used as an insult, roughly equivalent to ""andate a la mierda"" (go to hell).  It also refers to a gesture (clenching a fist and raising the middle finger).  The entry also notes that the word 'funcionario' in Argentina can refer to a high-ranking public official appointed by someone higher up, rather than through merit, and also to a career civil servant.  Additionally, 'funebrero' can refer to someone who works in or owns a funeral home, or colloquially, an Argentinian fan of the Chacarita Juniors football club."
534,gallina,"Adjective, colloquial.  Fan of the River Plate football club.  Also, colloquially, related to that club."
536,ganchito,"A small metal clip used to hold papers, cardboard, etc.  While the entry notes that the DRAE (Diccionario de la Real Academia Española) marks its usage in Cuba and Uruguay, the lingo entry itself is for 'es-AR', suggesting its use in Argentina as slang. The definition provided is essentially the standard meaning of the word, but its inclusion as slang implies a particular colloquial or informal usage within Argentina."
543,gasó,"The word ""gasó"" has multiple meanings in Argentinian slang. Primarily, it refers to a 'rosarigasino', someone who visits many businesses but buys little or nothing.  It can also describe an austere person or someone who doesn't compromise on consuming a good or service, even if it means sacrificing quality.  Additionally, it can be used adjectivally to describe something characteristic of a 'gasolero' or affordable for one.  In colloquial usage, it's also an adjective referring to a fan of the Temperley football club or something related to that club.  The Royal Spanish Academy (DRAE) defines 'gasolero' as relating to a vehicle, machine, or engine that uses diesel fuel, noting its usage in Argentina, Paraguay, and Uruguay."
551,globito,A colloquial term for a condom.  The 'm.' indicates it's masculine gender in Spanish. The entry explicitly marks it as slang.
555,gratarola,"Adjective and adverb meaning 'free', 'without cost'.  The entry notes that the adverbial form is considered colloquial Uruguayanism according to the DRAE (Diccionario de la Real Academia Española).  It's classified as lunfardo, which is Argentinian slang."
559,guampas,"Plural feminine noun. Lunfardo (Argentine slang).  Breach of fidelity by one member of a couple. The DRAE (Spanish Royal Academy Dictionary) lists 'cuerno' (horn, bony projection) as a ruralism used in Argentina and Uruguay, and 'cuerno' (marital infidelity) as a colloquialism used in Uruguay. The DIHA (Dictionary of Hispanic Americanisms) only gives the first meaning."
564,guionar,"The word ""guionar"" means to write a script or outline.  The entry provides two definitions: 1. To create a brief, ordered written outline of ideas for a specific purpose. 2. To write a detailed script for a film, radio, or television program.  The entry also includes a secondary definition for ""guisero/a"" (adjective) describing food suitable for stews, and gives the example ""Fideos guiseros"" (noodle suitable for stews).  The inclusion of ""Fideos guiseros"" as an example suggests a colloquial or idiomatic usage of ""guisero"" in the context of food."
565,guitas,"Plural form of 'guita', meaning cents or small change.  It's lunfardo (Argentine slang). The example given shows its use: ""¿Cuánto es? –Cincuenta guitas"" (How much is it? –Fifty cents/pesos). The entry notes that the DRAE (Spanish Royal Academy Dictionary) lists 'guita' with three meanings, including 'cash money', marked as colloquial."
572,incendiar,"Transitive verb, colloquial. To burn, to expose someone."
577,intelligentsia,"Elite intelectual.  The term 'intelligentsia' is used as slang in Argentina, suggesting a colloquial or informal usage of the word, possibly implying a certain irony or critique of the intellectual elite."
584,jóckey,"The word ""jóckey"" (pronounced /ˈxokei/ or /ˈʝokei/), meaning ""jockey"", is used in Argentina.  The entry notes that it's a slang term for a jockey, a rider who races horses."
587,"juninense, juntado, justiniano","The entry contains three distinct terms:

* **juninense:**  This adjective refers to someone or something originating from or related to one of three places named Junín: the city of Junín or its surrounding partido in Buenos Aires province; the town of Junín or its department in Mendoza province; or the city of Junín de los Andes in Neuquén province.

* **juntado, da:** This adjective is colloquial (coloq.) and describes a person living together as a married couple without being legally married.

* **justiniano:** This adjective is lunfardo (lunf.) slang. It describes a person who possesses very little, usually money. It can also describe a tight-fitting garment or be used as an adverb meaning ""barely"", ""scarcely"", or ""with difficulty""."
588,kenchi,"The entry indicates 'kenchi' is a slang term ('lunf.' likely refers to lunfardo, Argentinian slang).  The provided text suggests it's equivalent to 'quenchi', though the exact meaning of either is not given.  Further research into Argentinian lunfardo would be needed to determine its precise definition and usage."
589,kerosén,"Kerosene.  The entry indicates that ""kerosén"" is a slang term for kerosene, also noting the alternative spellings ""querosén"" and ""queroseno"". It's a derivative of petroleum."
590,lamparita,"A small light bulb.  The DIHA dictionary only lists this word within the expression ""prendérsele a uno la lamparita"", which means to have an idea suddenly occur to someone; to have a sudden inspiration or realization.  It literally translates to 'the little light bulb turns on for someone'."
600,lola,"The word ""lola"" in Argentinian Lunfardo (lunf. desus.) has multiple meanings:

1.  A small baked good, sweet or savory, made from flour-based dough, shaped in various forms.  This refers to a type of cookie or biscuit.
2.  A breast or nipple (female).
3.  A shortened, informal way of saying ""lo lamento"" (I'm sorry).
4.  ""No querer lola"" is a colloquial phrase meaning to avoid something, to shirk responsibilities or commitments."
602,lomo,"In Argentinian Lunfardo slang, ""lomo"" primarily refers to a person's very attractive physical appearance, especially a well-developed physique, particularly in the upper body.  The augmentative form ""lomazo"" is also commonly used.  The term can also refer to well-developed muscles, especially in the upper body.  The dictionaries DIHA and DRAE also list the related term ""lomo de burro"" (donkey's back) and the expression ""romperse el lomo"" (to break one's back), meaning to work very hard.  The term's usage highlights the cultural appreciation of physical attractiveness and hard work in Argentina."
