Tener fiaca,"A highly informal phrase, best reserved for using around friends and family and used to describe the feeling when laziness beats you, and you admit defeat despite the fact that you probably had something to do.","Ya no quiero seguir haciendo esto, tengo mucha fiaca",IDIOM
Bondi,Argentine slang for a public bus.,Voy a tomar el bondi para ir al centro,URBAN_SLANG
Mango,"An informal word for money, or the Argentine peso.",No tengo un mango encima,SLANG
Quilombo,"This word is used to describe a mess, a chaotic situation, or a brothel.",¡Qué quilombo tenés en tu habitación!,SLANG
Chamullar,"To sweet-talk, to flirt, or to try to convince someone with smooth talk, often insincerely.",Dejá de chamullar y decime la verdad,SLANG
Yanqui,"Slang for someone from the United States, an American.",Ese yanqui no entiende nada de fútbol,CULTURAL_REFERENCE
Guita,Another common slang term for money.,Necesito más guita para comprar eso,SLANG
Bronca,"Anger, frustration, or resentment.",Me da bronca que siempre llegue tarde,SLANG
Dale,"An extremely versatile word meaning “okay”, “go ahead”, “come on”, or used to express agreement or encouragement.",¿Vamos al cine? ¡Dale!,FILLER_WORD
abatir,. tr. Matar a un delincuente en un enfrentamiento.,,SLANG
abocarse,". prnl. Entregarse de lleno a hacer algo, o dedicarse a la consideración o estudio de un asunto. [El DRAE da esta acepción con marca de uso en Bolivia, Costa Rica, Guatemala, Uruguay y Venezuela. También da, sin marca alguna, la de 'dicho de una o más personas: juntarse de concierto con otra u otras para tratar un negocio'].",,IDIOM
abrochadora,". f. Grapadora, utensilio que sirve para unir o sujetar papeles, cartones, etc., con pequeñas piezas metálicas cuyos dos extremos, doblados y aguzados, se clavan para unir aquellos elementos.",,SLANG
abrojo,". m. Velcro, sistema de cierre o sujeción formado por dos tiras de tejidos diferentes que se adhieren al entrar en contacto.",,SLANG
acabada,". f. lunf. Secreciones propias del orgasmo. || Orgasmo, clímax sexual. [El DRAE la da con marca de coloquialismo uruguayo con los significados de 'semen (conjunto de espermatozoides)' y 'orgasmo (culminación del placer sexual)'. Acabar aparece allí con marca de uso coloquial en varios países, incluido la Argentina, con la acepción de 'alcanzar el orgasmo']. acabador, ra. adj. lunf. Dicho de una persona que ejerce la prostitución: que suele alcanzar el orgasmo con sus clientes. (""Pasé con una pendejita acabadora que era un sueño""). || Dicho de una mujer: que acaba varias veces en una relación sexual. acacharpado, da. adj. rur. Dicho de una persona: provista de cacharpas, es decir, enseres de poco valor, y también prendas de vestir.",,SLANG
ace,"[eis]. m. En el tenis y otros deportes similares, y en el vóley, tanto que se gana con el saque.",,SLANG
aguinaldo,". m. Sueldo anual complementario, mensualidad extra que se paga una vez por año a los trabajadores en blanco cuyo convenio no lo excluya expresamente, generalmente en dos cuotas, en junio y diciembre. || Medio aguinaldo. || Medio aguinaldo. loc. s. m. Cada una de las dos cuotas en que se paga el aguinaldo. [El DRAE trae, entre otras, estas acepciones: 'regalo que se da en Navidad o en la fiesta de la Epifanía' y 'regalo que se da en alguna otra fiesta u ocasión' (!)].",,REGIONAL_SLANG
ají,. Ají putaparió. m. coloq. Fruto del ají cumbarí.,,SLANG
ajoba,". adv. l. lunf. Abajo, en lugar inferior.",,SLANG
alambre,". Alambre de púa, o de púas. loc. s. m. Espino artificial, alambrada con pinchos que se usa para cercas. || Atar con alambre. fr. coloq. Construir, disponer, establecer o reparar algo precariamente.","""El fallo del juicio político es eso, político, y no asegura que en este país atado con alambre no vuelva a suceder una tragedia similar""",SLANG
albergue,. m. Albergue transitorio. || Albergue transitorio. loc. s. m. Hotel por horas en el que las parejas tienen relaciones sexuales.,,SLANG
aliscafo,"o alíscafo. m. Buque autopropulsado cuyo peso, en condiciones normales de navegación, es soportado parcial o totalmente por fuerzas hidrodinámicas generadas por perfiles alares sumergidos. [Suele decirse que la forma correcta es la esdrújula. En su diccionario de dudas, la Real Academia Española dice que debe usarse batiscafo y no *batíscafo; pero en el DRAE da como correcta la forma proparoxítona piróscafo].",,IDIOM
alvearense,". adj., com. Natural de la ciudad de General Alvear, o del departamento homónimo, en la provincia de Mendoza. || adj. Relacionado con ese departamento o con esa ciudad. || adj., com. Natural de la ciudad de General Alvear, o del partido homónimo, en la provincia de Buenos Aires. || adj. Relacionado con ese partido o con esa ciudad. || adj., com. Natural del departamento de General Alvear, o de la localidad de Alvear, en la provincia de Corrientes. || adj. Relacionado con ese departamento o con esa localidad. || adj., com. Natural de la localidad de Intendente Alvear, en la provincia de La Pampa. || adj. Relacionado con esa localidad. alzado, da. adj. Dicho de un animal: que está en celo. || adj. lunf. Dicho de una persona: cachonda, dominada por el apetito venéreo. [El DRAE la da como uruguayismo vulgar: 'dicho de una persona: sexualmente excitada']. amarillo, lla. adj., m. y f. coloq. p. us. Funcionario de cualquiera de los tres poderes, periodista, etc., sospechado de haber sido sobornado por Alfredo Yabrán.  ambulanciero, ra. m. y f. Chofer de una ambulancia.","""Los jueces amarillos""",SLANG
ametralladorista,. com. Persona encargada de disparar una ametralladora.,,SLANG
amigo,". m. lunf. Pene. Se usa precedido del artículo el: ""Si fingen el orgasmo, me produce el efecto contrario. Se me baja la moral y el amigo también"".",,SLANG
amo,. Amo de casa. loc. s. m. Hombre que se ocupa de las tareas de su casa.,,SLANG
ancho,. m. coloq. As de cada palo de la baraja.,,SLANG
andar,". intr. Funcionar un artefacto o una máquina. (""No anda el teléfono""). [El DRAE da, entre otras, la acepción de 'dicho de un artefacto o de una máquina: moverse para ejecutar sus funciones'].",,IDIOM
antisemita,". adj., com. Persona que rechaza a los árabes, a los hebreos y a los demás pueblos semitas, su cultura, su influencia, etc. [El DRAE define semita como 'según la tradición bíblica, descendiente de Sem' y 'se dice de los árabes, hebreos y otros pueblos'. Sin embargo, la definición de antisemita es 'enemigo de la raza hebrea, de su cultura o de su influencia'. Esta contradicción se ve agravada por el hecho de que en ese diccionario no aparecen palabras que nombren a los enemigos de los árabes o de los musulmanes, como podrían ser antiárabe o antiislámico].",,SLANG
apretar,". tr., intr. lunf. Besar y tocar repetidamente a alguien con intención erótica. [El DRAE trae el significado de 'constreñir, tratar de reducir con amenazas, ruegos o razones' sin marca diatópica].",,SLANG
argolla,". f. lunf. gros. Vulva; por ext., vagina. [El DIHA la da con la acepción de 'anillo de matrimonio' y la marca de ""poco usada""].",,SLANG
argollera,". f. lunf. gros. Lesbiana. (""Putas argolleras reales, como Mariana, del privado de Pasteur, años ha""). A veces se usa despectivamente.",,SLANG
armoniquista,. com. Persona que toca la armónica.,,SLANG
arrugar,". intr. lunf. Acobardarse, asustarse.",,SLANG
asaltar,". tr. Atracar, asaltar con propósito de robo, generalmente en poblado. [En la acepción que viene a cuento, el DRAE dice de asaltar: ""Acometer repentinamente y por sorpresa"". Sin duda, atracar es más específica].",,SLANG
asalto,". m. Atraco. || m. coloq. Fiesta que algunos amigos obligan a hacer a otro presentándose, sorpresivamente o no, en su casa con los comestibles y las bebidas del caso.",,SLANG
atriqui,". adv. l. lunf. Atrás, en la zona posterior, a las espaldas.",,SLANG
atroden,o atrodén. adv. l. lunf. Adentro.,,SLANG
auto,". Auto chocador o, más frecuentemente, autito chocador. loc. s. m. Coche de choque, atracción de feria que consiste en una plataforma metálica sobre la que ruedan y chocan coches pequeños provistos de bandas protectoras de goma. Se usa más en pl.",,SLANG
avatar,". m. En foros y otros sitios de internet similares, imagen seleccionada por cada usuario, que aparece junto a su nombre en cada una de sus intervenciones.",,INTERNET_SLANG
avellanedense,". adj., com. Natural de la ciudad de Avellaneda, o del partido homónimo, en la provincia de Buenos Aires. || adj. Relacionado con ese partido o con esa ciudad. || adj., com. Natural de la ciudad de Avellaneda, en la provincia de Santa Fe. || adj. Relacionado con esa ciudad.",,SLANG
azúcar,". Azúcar impalpable. loc. s. m. Azúcar glas o azúcar de lustre, azúcar pulverizada que se utiliza en confitería y repostería. azuleño, ña. adj., m. y f. Natural de la ciudad de Azul, o del partido homónimo, en la provincia de Buenos Aires. || adj. Relacionado con ese partido o con esa ciudad. baboso, sa. adj., m. y f. coloq. Persona aduladora, empalagosa y rendidamente obsequiosa con las personas del sexo de su preferencia. [El DRAE da, entre otras acepciones, 'dicho de un hombre: enamoradizo y rendidamente obsequioso con las mujeres'].",,IDIOM
babuchas,". f. pl. Pantalón de mujer, holgado y que se ajusta elásticamente en la parte inferior de la pernera, la que generalmente no llega al tobillo. || A babuchas. loc. adv. m. A cuestas, sobre los hombros o a las espaldas. [Esta última es la definición que dan el DRAE, que anota su uso coloquial en la Argentina y Uruguay, y el DIHA de a babucha. La forma con ese me resulta más usual. La RAE define babucha como un 'zapato ligero y sin tacón, usado principalmente por los moros'].",,SLANG
baby,"doll [beibi dol]. m. Prenda femenina para dormir, con faldas cortas, ajustada y con gran escote, que cubre parte del tronco, del busto hacia abajo, y se sostiene con breteles.",,SLANG
bagarto,. m. lunf. despec. Persona fea. Se usa especialmente para referirse a mujeres.,,INSULT
bahiense,". adj., com. Natural de la ciudad de Bahía Blanca, o del partido homónimo, en la provincia de Buenos Aires. || adj. Relacionado con ese partido o con esa ciudad. balcarceño, ña. adj., m. y f. Natural de la ciudad de Balcarce, o del partido homónimo, en la provincia de Buenos Aires. (""El balcarceño fue el más grande de todos, porque ganaba cuando tenía el mejor auto, pero también ganaba cuando no lo tenía""). || adj. Relacionado con ese partido o con esa ciudad.",,SLANG
banana,". adj., com. lunf. Canchero, persona que exhibe dominio de las situaciones y seguridad en sí misma, a veces hasta resultar arrogante. [El DIHA registra 'persona pícara y aprovechada', sentido en el que nunca escuché esta palabra].",,SLANG
bancar,". tr. lunf. Aguardar, dar tiempo o espera a alguien. [Se trata de un uso extensivo de la acepción 'soportar, aguantar a alguien o algo', que dan los diccionarios que tomamos como referencia. También registran 'mantener o respaldar a alguien' y 'responsabilizarse, hacerse cargo de una situación', usados todos en la Argentina y Uruguay, salvo el último, cuyo uso es registrado por la RAE sólo en la Argentina]. baqueteado, da. adj. lunf. Dicho de una cosa y figuradamente de una persona: muy usada, y deteriorada en consecuencia. [El DRAE trae 'experimentado en un trabajo, en un negocio, etc.' y 'maltratado por una situación o vida difíciles'].",,SLANG
baranda,. f. lunf. Olor desagradable.,,SLANG
bareca,". m. lunf. Cabaré, lugar de diversión nocturna en el que se bebe y se presencia un espectáculo con mujeres que generalmente ejercen la prostitución.",,SLANG
barilochense,". adj., com. Natural de la ciudad de San Carlos de Bariloche, o del departamento de Bariloche, en la provincia de Río Negro. || adj. Relacionado con ese departamento o con esa ciudad.",,SLANG
barrenar,". tr., intr. Deslizarse una persona sobre la cresta de una ola, generalmente asido de un flotador. || Por ext., deslizarse sobre la cresta de una ola en una embarcación pequeña o en una tabla de surf.",,SLANG
barulo,. m. lunf. Cabarulo.,,SLANG
beso,". Beso de lengua. loc. s. m. Beso muy apasionado, en el que las lenguas están en contacto. || Beso negro. loc. s. m. Beso que se da en el ano de otra persona para estimularla sexualmente. bestiún, na. m. y f. lunf. Persona ruda e ignorante. [El DRAE la da con marca de uso coloquial en Uruguay. En Buenos Aires he escuchado el femenino bestiuna, que el DRAE omite].",,SLANG
biandazo,". m. lunf. desus. Golpe que el delincuente le aplica a la víctima a la que va a robar, ya con el puño, ya con una cachiporra o un elemento similar. || m. lunf. Viandazo, golpe de puño. || Viandazo, remate al arco muy fuerte.",,SLANG
biandún,". m. lunf. desus. Biandazo, golpe que el delincuente aplica a la víctima. || Viandazo, puñetazo.",,SLANG
biandunazo,". m. lunf. Golpe de puño. || En el fútbol, forma alternativa o, a veces, aumentativa de biandazo, remate fuerte.",,SLANG
bicisenda,". f. Sector demarcado en un costado de una calle o avenida, para que por él circulen exclusivamente los ciclistas.",,SLANG
birdie,"[berdi]. m. En el golf, jugada que consiste en embocar la pelota en el hoyo empleando un golpe menos del par establecido para este.",,SLANG
birra,". f. lunf. Cerveza. blusero, ra. adj. Relacionado con el blues. || m. y f. Músico que se dedica a este género musical. || adj., m. y f. Aficionado al blues.",,SLANG
bobe,. f. coloq. Abuela de origen hebreo.,,SLANG
bobo,". m. lunf. Corazón, músculo cardiaco. || Reloj de pulsera.",,SLANG
boga,". com. lunf. Abogado, doctor en derecho.",,SLANG
bogey,"[bogui]. m. En el golf, jugada que consiste en embocar la pelota en el hoyo empleando un golpe más del par establecido para este. bohemio, mia. adj., m. y f. coloq. Hincha del club Atlanta. || adj. coloq. Relacionado con ese club.",,SLANG
bolacear,". intr. coloq. Mentir, fabular. [El DRAE y el DIHA dan bolacero 'que acostumbra mentir o disparatar', aquel, como argentinismo].",,SLANG
bolche,". adj., com. lunf. Persona que milita en la izquierda política o que tiene ideas de izquierda. || adj. lunf. Referido a la izquierda política.",,SLANG
boletear,". tr. lunf. Asesinar, matar a alguien con premeditación. [El DRAE y el DIHA traen el argentinismo 'mentir', del que no tenía idea]. boliguayo, ya. adj., m. y f. lunf. despec. Persona de piel oscura, baja estatura y, generalmente, forma de hablar distinta de la porteña. Paraguayo, boliviano, pero también peruano o nativo de cualquiera de las provincias del norte argentino.",,SLANG
bolonqui,". m. lunf. Quilombo, discusión, gresca, desorden. bolsero, ra. m. y f. lunf. Persona que vende o alquila teléfonos celulares, a veces teniendo a su nombre la línea, la que se traspasa informalmente al usuario, a veces tratándose de teléfonos robados reconectados ilegalmente. || adj., m. lunf. El teléfono vendido, alquilado o reconectado por un bolsero. boludo, da. m. y f. coloq. Se usa como fórmula de tratamiento entre jóvenes que tienen algún grado de confianza entre ellos. (""Che, boluda, ¿vos aprobaste Método II?"". ""¿Qué hacés, boludo? ¿Todo bien?""). [El DIHA da 'necio, tonto (gilipollas)' y el DRAE, con marca de uso en la Argentina y Uruguay, 'dicho de una persona: que tiene pocas luces o que obra como tal'].",,SLANG
bombear,". tr., intr. lunf. gros. Tener acceso carnal. [El DIHA trae 'vigilar a la distancia los movimientos del ganado', la desusada 'salir de avanzada para reconocer el terreno y espiar al enemigo' y, junto con el DRAE, que anota su uso en ambos países del Plata, 'en concursos, competiciones, pruebas, etc., perjudicar el árbitro o responsable a uno de los participantes'].",,SLANG
bombista,. com. Persona que toca el bombo.,,SLANG
bombisto,". m. NO. Hombre que toca el bombo, muy especialmente el que lo hace en conjuntos folclóricos.",,SLANG
bombita,". f. Lámpara, bombilla eléctrica.",,SLANG
boquense,". adj., com. Persona que nació o vive en el barrio de La Boca, en la ciudad de Buenos Aires. || adj. Relacionado con ese barrio.",,SLANG
bordeadora,". f. Máquina de cortar césped especial para ser usada en los confines de la superficie sembrada, junto a paredes o senderos de piedra. bostero, ra. adj., m. y f. coloq. Hincha del club Boca Juniors. (""Le toca al gallego tocar este son para una bostera""). || adj. coloq. Relacionado con ese club.",,SLANG
botín,. m. Zapato deportivo con el que se calzan quienes juegan al fútbol o a otros deportes que se practican sobre césped natural. || Colgar los botines. fr. coloq. Abandonar la práctica del fútbol. || fr. lunf. Abandonar una actividad.,“Un día de estos cuelgo los botines y no gateo más. ¿Resulta creíble?”,SLANG
breca,". adj. lunf. p. us. Cabrero, malhumorado, agresivo. || m. lunf. Cabaré.","""Ni se les ocurra ir a ponerla a un breca: todo muy rápido y te quieren sacar todo el money posible""",SLANG
brócoli,". m. Brécol o bróculi, variedad de la col común cuyas flores son de color verde oscuro.",,SLANG
bruja,. f. lunf. Mujer con la que se tiene una relación de pareja.,"""La bruja me está marcando de cerca""",SLANG
bulo,". m. lunf. Departamento, especialmente el de soltero.",,SLANG
bulto,". m. lunf. gros. Pene, especialmente cuando es notorio bajo la ropa. || Al bulto. loc. adv. m. A bulto, aproximadamente, sin cálculo previo. || Atolondradamente.",,SLANG
cabarulo,". m. lunf. Cabaré, lugar de diversión nocturna en el que se bebe y se presencia un espectáculo con mujeres que generalmente ejercen la prostitución.",,SLANG
cabarute,. m. lunf. Cabaré.,,SLANG
cabrio,"o cabriolet [cábriolet]. m. Cabriolé, automóvil descapotable. cabrón, na. adj., m. y f. lunf. Persona de mal carácter. [El DRAE trae esta acepción como mexicanismo; también registra, entre otros, el sentido de 'persona que hace malas pasadas', sin marca de regionalismo]. cachivachero, ra. adj. coloq. Dicho de una persona: que guarda cosas innecesarias. [Es lo que dice el DRAE, que sólo registra su uso en Chile, Cuba y Uruguay].",,SLANG
cachufleta,". f. lunf. gros. Vulva; por ext., vagina.",,SLANG
cachuzo,", za o cachuso, sa. adj. lunf. Dicho de una cosa: gastada, deteriorada. || Dicho de una persona: envejecida y achacosa. [La forma con zeta se encuentra dos tercios de las veces en Google; la forma con ese, por ende, solo un tercio].",,SLANG
cafishio,". m. lunf. Proxeneta. || Persona que se aprovecha del esfuerzo ajeno. [El DRAE da cafisho como uruguayismo; cafiche, usado despectivamente en Chile, y caficho, usado en la Argentina y Perú, con el sentido de 'proxeneta'. El DIHA, a su vez, trae cafiolo, cafisio y cafisho; en este último caso agrega al significado de 'proxeneta' el de 'el que vive a costa de otros o se beneficia del esfuerzo ajeno']. cagador, ra. adj., m. y f. lunf. Defraudador, perjudicador: persona que ocasiona daño o menoscabo material o moral.",,SLANG
cagar,". tr. lunf. gros. Superar a alguien, vencerlo en algún tipo de competencia, formal o no. || Cagar fuego. fr. lunf. gros. Morir. || Perjudicar grandemente; destruir. || Cagar a pedos. fr. lunf. gros. Reprender severamente. || Cagar a palos, a patadas, o a trompadas. fr. lunf. gros. Dar una golpiza. || Cagarse de [algo]. fr. lunf. gros. Tener eso mismo en gran cantidad. (“Nos cagamos de calor”). || Cagarse en las patas. fr. lunf. gros. Asustarse mucho. || Cagarse todo. fr. lunf. gros. Asustarse mucho. || Hacer cagar. fr. lunf. gros. Perjudicar grandemente. || Dar una paliza, cagar a palos. || Mandar a cagar. fr. lunf. gros. Contestar de mal modo; insultar. [El DIHA da cagar 'perjudicar, defraudar a alguien' y solo una acepción de hacer cagar, la de 'matar a una persona'; el DRAE registra cagar, sin marca diatópica, con los sentidos de 'manchar, deslucir, echar a perder algo' y 'acobardarse', entre otros, y, usado como pronominal seguido de la prep. en, su empleo vulgar para expresar desprecio por algo o alguien y para expresar enfado].",,SLANG
cagazo,. m. lunf. Susto.,,SLANG
cajeta,". f. lunf. gros. Vulva; por ext., vagina.",,SLANG
calzone,". m. Variedad de pizza, que se reputa originaria de Nápoles, caracterizada por su forma, que se logra doblando la masa sobre sí misma, con los ingredientes ya dispuestos, de modo que resulta una suerte de empanada gigante.",,SLANG
camisetear,". tr. coloq. En el fútbol y otros deportes de contacto, tomar un jugador a un rival de la camiseta, impidiéndole desplazarse libremente.",,SLANG
camperón,". m. Campera de tamaño mayor que el regular, o más abrigada.",,SLANG
cana,. Sacar a alguien canas verdes. fr. coloq. Causar preocupación y disgusto con continuos contratiempos. [El DRAE la registra como coloquialismo usado en Perú y Uruguay. Los significados referidos a la policía aparecen en los diccionarios de referencia].,,SLANG
canalla,". adj., com. coloq. Hincha del club Rosario Central. || adj. coloq. Relacionado con ese club.",,SLANG
cantito,". m. coloq. Versos que, sobre la música de una canción conocida, canta un grupo más o menos grande de personas –los hinchas de un equipo de fútbol, los asistentes a un acto político, etc.– para expresar apoyo a los suyos, descontento o cualquier otra demanda o estado de ánimo. || Dejo, acento peculiar del habla de determinada región.",,SLANG
capanga,". com. lunf. Jefe, persona que manda o tiene poder. [El DRAE la da con marca de uso en el área guaranítica, Bolivia y Uruguay con el sentido de 'persona que cumple las funciones de capataz, conduciéndose, a veces, con violencia'. El DIHA también la limita geográficamente al nordeste, registrando el significado de 'capataz, guardaespaldas, matón'].",,SLANG
capocha,. f. lunf. Cabeza de una persona.,,SLANG
capocheta,. f. lunf. Capocha.,,SLANG
careta,". adj. lunf. desus. Descarado, desfachatado. || adj. lunf. Dicho de una persona: falsa, que representa lo que no es; hipócrita. || com. lunf. Persona formal. || Persona que no consume drogas. || m. lunf. Cigarrillo de tabaco. || Estar o andar careta. fr. lunf. No estar bajo los efectos de drogas, generalmente ilegales, en ese momento, o no portarlas. [El DIHA sólo trae el significado de 'desvergonzado'].",,SLANG
caretear,". intr. lunf. Actuar con falsedad, hipócritamente; representar uno lo que no es. || Intentar atraer la atención de otros hacia sí exhibiéndose, haciéndose ver en lugares que se consideran importantes, trascendentes o apropiados, que están de moda o implican alguna clase de pertenencia. || Aparecer o mostrarse en los medios de comunicación por conveniencia, interés, etc. || tr. lunf. Tratar de obtener un bien o un servicio gratuitamente o con algún descuento. || Engañar, mentir. || Fingir, simular, aparentar.",,SLANG
caretez,. f. lunf. Cualidad de careta.,"""Cuando la lluvia de gas y alquitrán cubra tu cuerpo podrido, toda tu caretez, mi amigo, no tendrá más sentido""",SLANG
carilina,. m. Pañuelo descartable de papel.,,SLANG
caripela,". f. lunf. Cara, rostro.",,SLANG
cartonear,". intr. Recolectar, generalmente de las bolsas de residuos antes de que sean recogidas, desechos reciclables, en especial papeles y cartones, para luego venderlos. [Cartonero figura en el DIHA: ""Persona que recoge y selecciona, de entre la basura, cartones u otros materiales para su venta""].",,SLANG
cartoneo,. m. Acción y efecto de cartonear.,"""Una iniciativa ayuda a sacar a los chicos del cartoneo""",SLANG
casa,". Casa rodante. loc. s. f. Caravana, vehículo acondicionado para cocinar y dormir en él, con motor propio o remolcado por un automóvil.",,SLANG
cascarudo,. m. Nombre genérico con que se designa a ciertos escarabajos.,,SLANG
caú,". adj., com. NE. Ebrio, embriagado por la bebida, o que se embriaga habitualmente. cervecero, ra. adj., m. y f. coloq. Hincha del club Quilmes. || adj. coloq. Relacionado con ese club. chabón, na. m., adj. lunf. desus. Hombre torpe, tardo. || m. lunf. desus. Cliente de la prostituta. || m. y f. lunf. Sujeto, persona innominada. (""¿Qué quería el chabón ese?""). || Se usa como fórmula de tratamiento entre jóvenes que tienen algún grado de confianza entre ellos.","""Dale, chabón, ponete las pilas""",SLANG
chacabuquense,". adj., com. Natural de la ciudad de Chacabuco, o del partido homónimo, en la provincia de Buenos Aires. || adj. Relacionado con ese partido o con esa ciudad.",,SLANG
champú,". m. lunf. Champán, vino espumoso. || Reprimenda.",,SLANG
chamuyar,". intr. lunf. Hablar o escribir con intención persuasiva, buscando aprobación, etc., pero careciendo de argumentos o conocimientos sólidos. || tr. lunf. Galantear, decir requiebros a otra persona con el propósito de seducirla. || tr., intr. lunf. Mentir. [El DIHA, que prefiere la forma con elle, presenta 'hablar, particularmente para convencer acerca de algo' y 'noviar, flirtear'. El DRAE registra chamullar, sólo con marca de coloquialismo, con el significado de 'hablar', y chamuyar, con marca de uruguayismo y el sentido de 'decir chamuyos']. chamuyero, ra. adj., m. y f. lunf. Persona cuyos dichos no pueden o no deben ser tomados con seriedad. || Galanteador, que suele galantear. || Mentiroso, versero. || adj. lunf. Dicho de una persona: muy conversadora. [El DRAE trae chamullero, usado coloquialmente en la Argentina y Chile, como equivalente del chilenismo chamullento ‘que habitualmente utiliza expresiones confusas para desorientar a su interlocutor’].",,SLANG
changuito,". m. Carro provisto por los supermercados para que los clientes transporten la mercadería dentro del establecimiento. [El DIHA da chango 'niño, muchacho', 'changuito' y una definición similar a la que ofrezco de changuito; sin embargo, define esta palabra sólo como 'carro pequeño de dos ruedas que se lleva al mercado para transportar las compras'. En realidad se usan indistintamente las dos palabras para nombrar ambos elementos. El DRAE trae una acepción de chango con marca de argentinismo, 'carrito que se lleva para cargar las compras'].",,SLANG
chatarra,". f. De baja calidad. U. en apos.: ""Literatura chatarra"". [Transcripción de lo consignado por el DRAE, que circunscribe su uso a México y Uruguay].",,INTERNET_SLANG
chatear,. intr. Comunicarse a través de una red informática con otra u otras personas con emisión y recepción inmediata de lo que se escribe.,,SLANG
chechear,". tr., intr. Hablar a alguien usando el vocativo che, cuyo empleo implica un grado de confianza. checheno, na. adj., m. y f. Natural de Chechenia. || adj. Relacionado con esta nación del Cáucaso.",,REGIONAL_SLANG
checonato,". m. lunf. Cheque. || Auto, coche.",,SLANG
