
Term,Meaning,Category,Region,Example,Notes
Andar volando bajo,"To be distracted or out of it.",Colloquial Phrase,General,"I haven't slept well, ando volando bajo.",""
Ando al tiro,"I'm doing great, with energy or alert.",Colloquial Phrase,General,"I slept eight hours, ando al tiro today.",""
Apantallar,"To impress, to show off.",Slang,General,"He tried to apantallar the girls with his new car.",""
Apapachar,"To hug or cuddle with soul; to give affection.",Slang,General,"Come here, let me apapacho you.","From the Nahuatl 'papatzoa'."
Apenarse,"To feel embarrassed or shy.",Slang,General,"She apenó when they complimented her.",""
Armar un pancho,"To make a scene or throw a tantrum.",Colloquial Phrase,General,"The child armó un pancho in the supermarket.",""
Arquitecto de sonrisas,"Dentist or orthodontist.",Slang,General,"I have an appointment with the arquitecto de sonrisas.","Joking term."
Arrastrado,"A suck-up, a crawler.",Insult,General,"He's an arrastrado with the boss.",""
Arreado,"In a hurry, rushed.",Slang,Northern,"Why are you so arreado?",""
Arre,Yes; okay; let's go.,Slang,Northern,"Are we getting tacos? ¡Arre!","Very common in Northern Mexico."
Asquil / Asquilín,"Ant.",Slang,Western (Jalisco),"There are a lot of asquiles in the kitchen.",""
Atáscate ahora que hay lodo,"Take advantage of the opportunity while it lasts.",Proverb,General,"There's plenty of food, ¡atáscate ahora que hay lodo!",""
Atole,"A traditional hot corn-based drink.",Food,General,"In the morning, I like a warm atole.","From Nahuatl 'atolli'."
Aventado,"Daring, reckless.",Slang,General,"He is very aventado, he's not afraid of anything.",""
Aventón,"A ride in someone's vehicle.",Slang,General,"Can you give me an aventón to the subway?","See 'Raite'."
Azorrillarse,"To get scared or chicken out.",Slang,General,"He azorrilló when he saw the big dog.",""
Baboso,"Dumb, stupid.",Insult,General,"Don't be baboso, that's not the way.",""
Baika,"Bicycle.",Slang,Border,"I'm going to the store on the baika.","From the English 'bike'."
Baisa,"Hand.",Slang,Slang (Caló),"Choca esa baisa, carnal.",""
Bajón,"Intense hunger, especially after drinking or smoking.",Unique Concept,General,"I got the bajón and ate three tortas.",""
Balconear,"To expose someone, to rat someone out.",Slang,General,"They balconearon him with his boss and he got fired.",""
Bamba,"Fake, counterfeit.",Slang,General,"Those sneakers are bamba.",""
Banda,"A group of friends.",Slang,General,"I'm going out with la banda.",""
Banquetera,"To drink alcohol on the street, on the sidewalk.",Slang,General,"We had some banqueteras before going into the bar.",""
Barda,"A party hall, an estate, or land for events.",Slang,Bajio (Guanajuato),"We rented a barda for the birthday party.",""
Baro,"An alternative form of 'Varo', money.",Slang,General,"I don't have a single baro.",""
Bato,"Man, guy, dude.",Slang,Northern / Slang (Caló),"That bato over there is looking at me.",""
Bichi,"Naked.",Slang,Northern (Sonora),"The kid is running around bichi all over the house.",""
Bien mucho,"Very much, a lot.",Slang,Western (Jalisco),"Thanks, you helped me bien mucho.","Characteristic of Guadalajara's speech."
Birote,"A type of salty, hard-crusted bread roll.",Food,Western (Jalisco),"Buy some birotes for lunch.","Emblematic of Guadalajara."
Bocho / Vocho,"Volkswagen Beetle.",Slang,General,"My first car was a bocho.",""
Boleada,"The act of shining or cleaning shoes.",Slang,General,"Give your shoes a boleada.",""
Bolo,"Drunk.",Slang,Southern (Chiapas),"He was completely bolo at the party.",""
Bordo,"A speed bump.",Slang,Northern,"Slow down, there's a bordo.",""
Botana,"Appetizer, snack, starter.",Food,General,"They brought chips and peanuts as botana.",""
Bote,"Jail, prison.",Slang,General,"They threw him in the bote for stealing.",""
Bro,"Friend, dude (from 'brother').",Slang,Youth,"What's up, bro?",""
Bronca,"Problem, fight, mess.",Slang,General,"Don't get into broncas.",""
Bueno,"Hello? (on the phone).",Unique Concept,General,"¿Bueno? Who's speaking?","The standard way to answer the phone in Mexico."
Burra,"A public transport bus.",Slang,Northern (Tijuana),"I have to take the burra to go downtown.",""
Buscar,"To find.",Slang,Yucatan,"I looked for it but I don't busco it.","A peculiar usage in Yucatan, where it means 'to find'."
Cabrón,"Bastard, asshole; or, a very skilled person.",Insult,General,"You're such a cabrón, you tricked me! / He's a cabrón at math.","The meaning is entirely dependent on context and intonation."
Cábula,"A joke, exaggeration, falsehood.",Slang,Gulf (Veracruz),"What you're saying is pure cábula.",""
Cachar,"To catch.",Slang,General,"¡Cacha la pelota!","Anglicism of 'to catch'."
Cachetada,"A slap.",Slang,General,"His mom gave him a cachetada.",""
Cachirul,"A trick or deception, especially in sports.",Unique Concept,General,"They used an over-aged player, it was a cachirul.",""
Caer de a madre,"To be really liked or disliked.",Colloquial Phrase,General,"I really like/dislike that guy de a madre.","The meaning (good or bad) depends on the context."
Caer gordo,"To be disliked by someone.",Colloquial Phrase,General,"My new boss cae gorda.",""
Cagado,"Funny, hilarious.",Slang,General,"That comedian is very cagado.",""
Cagante,"A detestable, irritating person.",Insult,General,"Don't invite him, he's super cagante.",""
Caguama,"A large bottle of beer (940 ml or 1.2 liters).",Beverage,General,"Let's buy some caguamas for the party.",""
Caifán,"A respected individual in the neighborhood, a leader.",Slang,Slang (Caló),"He was the caifán of the colony, everyone respected him.",""
Calaca,"A skeleton; the personification of Death.",Unique Concept,General,"On the Day of the Dead, calacas decorate everything.",""
Calar,"To try, to test.",Slang,Western (Jalisco),"Cala this salsa, see if you like it.",""
Caldeado,"Angry, heated.",Slang,General,"The atmosphere got caldeado after the argument.",""
Calientas el boiler y no te metes a bañar,"To lead someone on without any intention of committing.",Colloquial Phrase,General,"They've been dating for months, but he calienta el boiler y no se mete a bañar.",""
Caló,"A jargon of Romani origin, adopted and adapted by marginalized and criminal groups.",Unique Concept,General,"He speaks a lot of caló, sometimes I don't understand him.",""
Cámara,"Alright; hurry up; it's a deal.",Slang,Central (Mexico City),"See you later? ¡Cámara!","Very versatile in Mexico City."
Camarón que se duerme, se lo lleva la corriente,"You snooze, you lose.",Proverb,General,"","Literally 'Shrimp that falls asleep is carried away by the current'."
Camarón, caramelo. Caramelo, camarón.,,,Tongue Twister,General,"",
Camello,"Tough or heavy work.",Slang,General,"Getting this chamba done is going to be a real camello.",""
Caminera,"An alcoholic beverage consumed on the way to a place.",Beverage,General,"Pass me a caminera for the taxi ride.",""
Campanear,"To watch, to be on the lookout.",Slang,Slang (Caló),"Stay campanando while I go in.",""
Candil de la calle, oscuridad de su casa,"A person who is generous and kind to outsiders but not to their own family.",Proverb,General,"",""
Canijo,"A cunning, mischievous person; a difficult situation.",Slang,General,"That kid is canijo. / The problem is canijo.",""
Cansado,"Drunk.",Slang,Central (Mexico City),"He's cansado, he can't walk straight.","Literally 'tired'."
Cantón,"House, home.",Slang,General / Slang (Caló),"I'm going to a party at his cantón.",""
Carnal,"Brother or a very close friend.",Slang,General,"What's up, carnal?",""
Carrilla,"Constant teasing or mockery.",Slang,General,"Stop giving Luis so much carrilla.",""
Catrín / Catrina,"An elegant and well-dressed person. La Catrina is the iconic skeleton by José Guadalupe Posada.",Unique Concept,General,"He arrived at the party very catrín.",""
Catorrazo,"A strong blow, a smash.",Slang,General,"He took a catorrazo with the door.",""
Cotorrear,"To chat in a fun, friendly way; to joke around.",Slang,General,"We were cotorreando all afternoon.",""
Cráneo,"A very intelligent person.",Slang,Southern,"He's a cráneo in physics.",""
Cruda,"A hangover.",Unique Concept,General,"I have a cruda that's killing me.",""
Cruzazulear,"To be on the verge of winning and then lose unexpectedly and dramatically.",Slang,Sports,"The team was winning 3-0 and ended up losing. They cruzazulearon!","In allusion to the Cruz Azul soccer team."
Cuate,"Friend; twin.",Slang,General,"He's my cuate from elementary school. / My brother has cuates.",""
Cucaracha,"A derogatory term for an old, run-down car.",Slang,General,"My car is a cucaracha now, it breaks down all the time.",""
Cuchitril,"A small, dirty, and messy place.",Slang,General,"He lives in a cuchitril downtown.",""
Cuerno de chivo,"An AK-47 assault rifle.",Slang,General,"The narcos used cuernos de chivo.",""
Culero,"A bad person, a coward, a traitor.",Insult,General,"Don't be a culero and give me my money back.","A very strong insult."
Cura,"Funny, hilarious.",Slang,Western (Jalisco),"The conversation was bien cura.",""
Curado,"Funny, amusing, cool.",Slang,Northern,"That movie is bien curada.",""
Chafa,"Of poor quality, counterfeit.",Slang,General,"This watch turned out to be chafa, it already broke.",""
Chafirete,"A public transport driver, a taxi driver.",Slang,Slang (Caló),"The chafirete was driving like a maniac.",""
Chale,"An expression of disappointment or annoyance.",Slang,General,"Chale, I forgot my wallet.",""
Chamba,"Work, job.",Slang,General,"I have a lot of chamba this week.",""
Chambear,"To work.",Slang,General,"I have to chambear early tomorrow.",""
Chance,"Opportunity; maybe.",Slang,General,"Give me a chance to explain. / Chance we'll go to the movies.","From the English 'chance'."
Changarro,"A small, informal business or stall.",Slang,General,"He set up a changarrito selling juice on the corner.",""
Chante,"House, home.",Slang,Slang (Caló),"I'll drop by your chante later.",""
Chaparrito,"A short person (used affectionately).",Slang,General,"My boyfriend is chaparrito but very handsome.",""
Chapulín,"A person who jumps from one political party to another for convenience; a grasshopper.",Slang,General,"That politician is a chapulín.",""
Charpear,"To splash with mud or dirty water.",Slang,Western (Jalisco),"The car passed by and charpeó all over my pants.",""
Chavo / Chava,"Boy, young man / Girl, young woman.",Slang,General,"The chavos of today are very different.",""
Chayote,"A bribe or payment to journalists to speak well of someone.",Unique Concept,Journalistic,"They give that reporter a good chayote.",""
Checar,"To check, to review.",Slang,General,"I'm going to checar the oil in the car.","From the English 'to check'."
Chechón,"A crybaby.",Slang,Yucatan,"That kid is a real chechón.",""
Chela / Cheve,"Beer.",Slang,General,"Let's go for some cold chelas.","'Chela' is more common in the center/south, 'Cheve' in the north."
Chesco,"A soda (soft drink).",Slang,General,"Pass me a chesco, please.","Short for 'refresco'."
Chido,"Good, nice, cool.",Slang,General,"Your car is so chido!",""
Chiflando y aplaudiendo,"A phrase to ask someone not to touch anything or to stop physical advances.",Colloquial Phrase,General,"Okay, kids, you can look but chiflando y aplaudiendo.",""
Chilango,"A person from Mexico City.",Slang,General,"Chilangos have a sing-song accent.","Can have a slightly derogatory connotation outside of Mexico City."
Chilpayate,"A small child, a baby.",Slang,General,"Her chilpayate is very cute.","From the Nahuatl 'tzilpayatl'."
Chingadera,"A piece of junk; any object.",Slang,General,"Don't buy that chingadera. / Pass me that chingadera over there.",""
Chingaquedito,"A person who is subtly but persistently annoying.",Slang,General,"He's a chingaquedito, always with his indirect comments.",""
Chingar,"To annoy; to ruin; to work hard; to have sex (vulgar).",Slang,General,"Stop chingando! / The TV is chingó. / You have to chingarle to get ahead.","The most polysemous and complex verb in Mexican Spanish. Very vulgar."
Chingo a mi madre si no,"A way of emphatically swearing that something is true.",Colloquial Phrase,General,"I swear to god I'm telling you the truth!",""
Chingón / Chingona,"Excellent, very good, the best.",Slang,General,"That movie is chingona. / You are a chingón.","Can be a compliment or an insult."
¡Chinga tu madre!,"The most serious and direct insult in Mexican Spanish.",Insult,General,"","A direct offense to the interlocutor's mother."
Chipocludo,"Someone who is very good in their field, of high quality.",Slang,General,"They hired a very chipocludo designer.",""
Chiqueado,"Spoiled, pampered.",Slang,General,"That child is very chiqueado by his grandmother.",""
Chismear,"To gossip.",Slang,General,"They spend all day chismeando.",""
Chispear,"To drizzle.",Slang,General,"It's just chispeando, no umbrella needed.",""
Chivearse,"To get embarrassed, to blush.",Slang,General,"He chiveó when they said nice things to him.",""
Chivo,"A bribe.",Slang,General,"He gave the cop a chivo so he wouldn't get a ticket.",""
Chocho,"A pill, medication.",Slang,General,"Grandpa has to take a lot of chochos every day.",""
Chones,"Underwear, panties, briefs.",Slang,General,"I forgot to pack clean chones.",""
Chorear,"To trick, to scam with smooth talk.",Slang,Slang (Caló),"That salesman choreó me into buying something useless.",""
Choro,"A long, boring, or deceitful speech.",Slang,General,"The politician gave a choro that nobody believed.",""
Chota / Tira,"The police.",Slang,General / Slang (Caló),"Here comes la chota, hide!",""
Choya,"Head.",Slang,General,"I hit my choya.",""
Chuchulucos,"Sweets, candies.",Slang,Western (Jalisco),"He bought chuchulucos for the kids.",""
Chueco,"Illegal, fraudulent.",Slang,General,"He bought a chueco degree.",""
Chulear,"To compliment, to praise someone's appearance.",Slang,General,"He was chuleando the girl at the bar.",""
Chulo / Chula,"Pretty, handsome, attractive.",Slang,General,"You look so chula today!",""
Chundo,"Tacky, in poor taste (derogatory term).",Slang,General,"His clothes are very chundo.",""
Chupar,"To drink alcohol.",Slang,General,"Let's go chupar tonight.",""
Chupe,"An alcoholic beverage.",Slang,General,"We need to bring the chupe to the party.",""
Chupó faros,"He/she died; it failed; it's over.",Colloquial Phrase,General,"The project chupó faros, they canceled our budget.",""
Churro,"A marijuana cigarette; something of poor quality.",Slang,General,"He went to smoke a churro. / The movie was a churro.",""
Codo,"Stingy, miserly.",Slang,General,"Don't be codo, buy the beers.",""
Colgado,"Far away, distant.",Slang,Central (Mexico City),"The store is way over there, bien colgado.",""
Como el perro de las dos tortas,"A person who is so indecisive they risk ending up with nothing.",Colloquial Phrase,General,"Make up your mind or you'll end up como el perro de las dos tortas.",""
Como la carabina de Ambrosio,"Something that is useless.",Colloquial Phrase,General,"This can opener is como la carabina de Ambrosio.",""
Conchudo,"A shameless person, someone who takes advantage of others' kindness.",Slang,General,"You're so conchudo, you come to my house and eat all my food.",""
Cooperacha,"A collection of money among several people for a common purpose.",Unique Concept,General,"Let's do a cooperacha for the pizzas.",""
Coto,"A gated community or private subdivision; also, a chat or joke.",Slang,Western (Jalisco),"He lives in a private coto. / Let's have a coto.",""
Cruda,"A hangover.",Unique Concept,General,"I have a cruda that's killing me.",""
Cuesta más caro el caldo que las albóndigas,"Said when the means to achieve something are more costly than the end result.",Proverb,General,"Paying for express shipping cost more than the product. Salió más caro el caldo que las albóndigas.",""
Dar el avión,"To pretend to listen or pay attention.",Colloquial Phrase,General,"My dad was scolding me, but I just le di el avión.",""
Dar el gatazo,"To look like it's good quality when it's not.",Colloquial Phrase,General,"The car da el gatazo, but it's very old.",""
Dar el pitazo,"To tip someone off, to alert, to snitch.",Colloquial Phrase,General,"Someone le dio el pitazo to the police.",""
Dar en la madre,"To ruin something, to break it; to beat someone up.",Colloquial Phrase,General,"I le di en la madre to my phone, I dropped it. / They le dieron en la madre in the fight.",""
Dar lata,"To be annoying, to bother.",Colloquial Phrase,General,"The neighbor da lata with his music all night.",""
Dar toques,"An electric shock, usually from a device used for games.",Slang,General,"At the fair, we nos dimos toques to see who could last the longest.",""
Darle vuelo a la hilacha,"To go wild, to party without restraint, to lead a dissipated life.",Colloquial Phrase,General,"Since he got divorced, he's been dándole vuelo a la hilacha.",""
De a grapa,"Free of charge.",Slang,General,"We got into the concert de a grapa.",""
De aguilita,"Standing, squatting (to eat or drink something quickly).",Colloquial Phrase,General,"Have a taco de aguilita and let's go.",""
De cajón,"A must, something that cannot be missing.",Colloquial Phrase,General,"At weddings, 'El Payaso de Rodeo' is de cajón.",""
De chile, mole y pozole,"Said when there is a great variety or mix of things or people.",Colloquial Phrase,General,"At the party, there were people de chile, mole y pozole.",""
De hueva,"Boring, tedious.",Slang,General,"The history class is de hueva.",""
De la patada,"Very bad, of terrible quality.",Slang,General,"I feel de la patada, I think I'm getting sick.",""
De pe a pa,"From beginning to end, completely.",Colloquial Phrase,General,"I know the story de pe a pa.",""
De volada,"Quickly, instantly.",Colloquial Phrase,General,"He finished the homework de volada.",""
Desmadre,"Chaos, disorder, a mess.",Slang,General,"The party turned into a desmadre.",""
Despapaye,"Disorder, chaos.",Slang,General,"There was a despapaye in the office.","Synonym for 'desmadre'."
Destrampado,"Careless, wild, someone who doesn't consider the consequences.",Slang,General,"He's very destrampado when he drives.",""
Dieciocho,"To be alert.",Slang,Slang (Caló),"Ponte dieciocho, don't let them rob you.",""
Echar la hueva,"To be lazy, to do nothing.",Colloquial Phrase,General,"I spent all Sunday echando la hueva.",""
Echar la mano,"To help someone.",Colloquial Phrase,General,"Échame la mano with these boxes, please.",""
Echar lío,"To flirt, to hit on someone.",Colloquial Phrase,Western (Jalisco),"He was echando lío with a girl at the bar.",""
Echar porras,"To cheer someone on.",Colloquial Phrase,General,"We went to echarle porras to our team.",""
Echar reja,"To have a romantic date, to court someone.",Colloquial Phrase,Bajio,"He goes to echar reja with his girlfriend every Friday.",""
Echarse un coyotito,"To take a short nap.",Colloquial Phrase,General,"After lunch, I'm going to echarme un coyotito.",""
Echarle crema a tus tacos,"To exaggerate or boast excessively.",Colloquial Phrase,General,"That's not such a big deal, le echas mucha crema a tus tacos.",""
El muerto al pozo y el vivo al gozo,"Life must go on after a death.",Proverb,General,"",""
El que es perico, donde quiera es verde,"A talented person proves their worth in any situation.",Proverb,General,"",""
El que mucho abarca, poco aprieta,"He who tries to do too much at once, does nothing well.",Proverb,General,"",""
El que nace pa' tamal, del cielo le caen las hojas,"A person's destiny is unavoidable.",Proverb,General,"",""
El que por su gusto es buey, hasta la yunta lame,"He who willingly chooses a bad situation should not complain.",Proverb,General,"",""
Elote,"Corn on the cob.",Food,General,"I want an elote with chili and lime.","From the Nahuatl 'elotl'."
Embobar,"To be dazed, mesmerized.",Slang,General,"He was embobado watching television.",""
Empedarse,"To get drunk.",Slang,General,"He went to empedarse with his friends.",""
Enchilarse,"To experience extreme burning from eating chili.",Slang,General,"I ate a very spicy salsa and me enchilé.",""
Enchiloso,"Very spicy.",Slang,Western (Jalisco),"This salsa is very enchilosa.",""
Enconar,"For a wound to get infected.",Slang,Slang (Caló),"His cut se enconó.",""
Entenao',"A close friend, a buddy.",Slang,Bajio (Guanajuato),"I'm going out with my entenaos.","Deformation of 'entenado' (stepson)."
Escuincle,"A kid, a brat.",Slang,Central (Mexico City),"Be quiet, escuincle!","From the Nahuatl 'itzcuintli' (dog)."
Estar cañón,"To be very difficult or complicated.",Colloquial Phrase,General,"The calculus exam was cañón.",""
Estar hasta el queque,"To be fed up, very drunk.",Colloquial Phrase,General,"I'm hasta el queque with his lies.",""
Estar hasta la madre,"To be fed up, annoyed.",Colloquial Phrase,General,"I'm hasta la madre with so much work.",""
Fajo,"A belt.",Slang,Western (Jalisco),"Lend me your fajo.",""
Fardero,"A shoplifter who hides stolen goods under their clothing.",Slang,Slang (Caló),"The guards caught a fardero.",""
Fayuca,"Smuggled goods.",Slang,General,"He bought his sneakers from fayuca in Tepito.",""
Feria,"Coins, spare change.",Slang,General / Northern,"Do you have any feria for the parking meter?",""
Fierro pariente,"Let's go!, Let's do it!, Hell yeah!",Slang,Northern,"Ready for the barbecue? ¡Fierro pariente!","Associated with Sinaloa culture."
Flota,"A group of friends.",Slang,Gulf (Veracruz),"La flota is meeting at the beach.",""
Fonda,"A small, inexpensive restaurant serving homemade food.",Unique Concept,General,"Let's eat at doña Pelos's fonda.",""
Forrado,"To be loaded with money, rich.",Slang,General,"That businessman is forrado.",""
Fregadera,"An annoyance; a worthless thing.",Slang,General,"Stop with your fregaderas!",""
Fregar,"To annoy; to ruin; to work hard.",Slang,General,"Stop fregar! / You fregaste the remote control.","A milder version of 'chingar'."
Fregón / Fregona,"Excellent, very good, the best.",Slang,General,"Your car is so fregón.","A milder version of 'chingón'."
Fresa,"A person from the upper class, snobbish, with a particular way of speaking.",Slang,General,"That girl is very fresa, she doesn't eat at street stalls.",""
Fuertecito,"A strong alcoholic drink.",Slang,General,"After the beers, we moved on to the fuertecitos.",""
Fusca,"A gun, a firearm.",Slang,Slang (Caló),"He pulled out the fusca during the robbery.",""
Gacho,"Ugly, bad, unpleasant.",Slang,General,"How gacho that you didn't invite me!",""
Gallina vieja hace buen caldo,"The experience of older people is valuable.",Proverb,General,"",""
Gallo,"A serenade brought to someone, usually at dawn.",Unique Concept,General,"They brought a gallo for his girlfriend on her birthday.",""
Gandalla,"An abusive person, someone who takes advantage of others.",Slang,General,"He's a gandalla, he always eats others' food.",""
Garra,"Old or poor-quality clothing.",Slang,General,"Just wear any garra to be at home.",""
Gato,"A servant, a domestic employee (derogatory); something of poor quality.",Insult,General,"He treats his employees like they're his gatos. / What gato service.",""
Gaviota,"A freeloader, a person who lives off others.",Slang,Slang (Caló),"He's a gaviota, he never pays for anything.",""
Godínez,"An office worker with a fixed schedule and routine.",Unique Concept,General,"On Fridays, the godínez go out to eat together.",""
Gorra,"Free of charge.",Slang,General,"The food was de gorra.","See 'de a grapa'."
Gorgojo, más chico que un piojo...,"Seemingly harmless people who turn out to be very problematic.",Proverb,General,"",
Grapa,"Inhalable industrial glue, used as a drug.",Slang,General,"",""
Grifo,"A person under the influence of marijuana.",Slang,General,"That guy is always bien grifo.",""
Gringo,"A person from the United States (can be derogatory).",Slang,General,"There are many gringo tourists in Cancun.",""
Guácala,"An expression of disgust or repulsion.",Slang,General,"¡Guácala, a cockroach in the food!",""
Guachiman,"A watchman, a security guard.",Slang,General,"The guachiman didn't let me in.","From the English 'watchman'."
Guaje,"A fool, someone who plays dumb.",Slang,General,"Don't act guaje, you know what I'm talking about.",""
Guamazo,"A hard blow.",Slang,General,"He took a guamazo when he fell.",""
Guanatos,"A colloquial way to refer to Guadalajara.",Slang,Western (Jalisco),"I'm going to Guanatos for the weekend.",""
Güero / Güera,"A fair-skinned or blond person.",Slang,General,"Come in, güerita, what will you have?",""
Gusguear,"To snack between meals.",Slang,Western (Jalisco),"Stop gusgueando or you won't eat dinner.",""
Güey / Wey,"Dude, guy; fool.",Slang,General,"What's up, güey? / You're so güey if you believe that.","The most widely used word in Mexican slang."
Hacer (el) paro,"To do a favor.",Colloquial Phrase,General,"Hazme el paro and pass me the homework.",""
Hacer de chivo los tamales,"To deceive someone, to be unfaithful to one's partner.",Colloquial Phrase,General,"He's haciendo de chivo los tamales with his secretary.",""
Hacerla de jamón,"To exaggerate a problem, to make a drama.",Colloquial Phrase,General,"Don't la hagas de jamón, it's not a big deal.",""
Hacerla de pedo,"To create a problem or a scene over something minor.",Colloquial Phrase,Northern,"Don't la hagas de pedo, it was just a joke.",""
Hacerla de tos/pedo,"To complain, to create a problem over something insignificant.",Colloquial Phrase,General,"Don't la hagas de tos, it's just a scratch.",""
Hacerse pato,"To play dumb, to ignore a responsibility.",Colloquial Phrase,General,"It's your turn to do the dishes, no te hagas pato.",""
Hasta atrás,"Very drunk.",Colloquial Phrase,General,"He ended up hasta atrás at the party.",""
Hecho la mocha,"Very fast.",Colloquial Phrase,Northern,"He was going hecho la mocha on the highway.","'Mocha' refers to a locomotive."
