language_code,category,region_code,Term_Phrase_Item,notes,tags
es-AR,SLANG,Argentina,Bulín,"A bachelor pad, a modest room or apartment, often used for trysts or as a young person's dwelling.  Its origin is possibly from the French word ""boulin"" (pigeonhole) or the Italian word ""bolino"" (stamp for bread). It's considered classic Lunfardo, a type of Argentine slang, and is often heard in tangos.","Lunfardo,Tango,Argentina"
es-AR,SLANG,Argentina,Cana,"Slang term for ""police"" or ""jail.""  Its origin is possibly from the French word ""canne"" (cane, referring to a police officer's stick) or a reversal (""vesre"") of the Spanish word ""botón"" (button, possibly a slang term for police). It is widely used and understood in Argentina.","Slang,Jail,Police"
es-AR,SLANG,Argentina,Canchero/a,"Skilled, expert, smooth operator; someone with experience or confidence; sometimes implies cockiness. Originates from the Quechua word ""kancha"" (enclosure, field) combined with a Spanish suffix.  It is widely used in Argentina.","Slang,Informal,Confidence"
es-AR,SLANG,Argentina,Capo,"Boss, master, someone who is very skilled or in charge; a top person.  It originates from the Italian word ""capo"" meaning ""head"".  Example: ""Messi es un capo jugando al fútbol."" (Messi is a master at playing football.)","Slang,Italian origin,Respect"
es-AR,INSULT,Argentina,Careta,"A pejorative slang term meaning ""fake person"" or ""hypocrite."" It describes someone who pretends to be more proper or moral than they actually are.  The word literally means ""mask,"" reflecting the idea of a false persona.  The example sentence shows its usage: ""Dice que no toma alcohol, pero es un careta, lo vi en la fiesta."" (He says he doesn't drink alcohol, but he's a hypocrite, I saw him at the party.)","Slang,Pejorative,Insult"
es-AR,SLANG,Argentina,Chabón/a,"Means ""guy, dude, fellow; girl/woman"". Originates from the Spanish word ""chambón"" (clumsy person), common in Lunfardo (Argentine slang).  Generally neutral in meaning but can be slightly pejorative or dismissive depending on tone and context. Example: ""Ese chabón de allá me está mirando."" (That guy over there is looking at me.)","Lunfardo,Informal,Potentially Pejorative"
es-AR,SLANG,Argentina,Chamullero/a,"A smooth talker, a player, someone skilled at ""chamuyo"" (persuasive or deceptive talk, flirting).  The term implies someone who is skilled at using persuasive or deceptive language, often for romantic purposes, but not necessarily maliciously.  The example sentence ""Ese tipo es un chamullero, no le creas nada."" (That guy is a smooth talker, don't believe anything he says.) illustrates its use in warning against someone's deceptive charm.","Slang Terms,Deception,Flirting"
es-AR,SLANG,Argentina,Chamuyo / Chamuyar,"Sweet talk, persuasive talk, smooth talk, flirting; to sweet-talk, flirt, try to convince, bluff. Originates from Caló (Spanish Romani) ""chamuya"" (talk).  It is fully mainstream in Argentina. Example: ""No me vengas con chamuyos."" (Don't give me that nonsense.)","Slang,Caló,Argentina"
es-AR,SLANG,Argentina,Che,"Ubiquitous interjection meaning ""hey,"" ""hey you,"" ""man,"" ""dude,"" ""mate,"" or used to get someone's attention.  It can also be a filler word.  A hallmark of Argentinian Spanish.  Its origin is debated; it may be indigenous or an apocope (a shortened word). Example: ""Che, ¿me pasás la sal?"" (Hey, can you pass me the salt?)","Interjection,Filler Word,Argentina"
es-AR,SLANG,Argentina,Chele,"A slang term, specifically a 'vesre' (reverse spelling) of ""leche"" (milk).  It commonly refers to milk, but in a vulgar context, it can refer to semen.  Example of neutral usage:  ""¿Querés chele con el feca?"" (Want milk with the coffee?).","Slang,Vesre,Vulgar"
es-AR,SLANG,Argentina,Chochamu,"Slang term for a young man or guy. It's a 'vesre' (reverse spelling) of ""muchacho"" (young man).  Example usage: ""Ese chochamu es mi hermano."" (That guy is my brother.)","Slang,Vesre,Argentina"
es-AR,SLANG,Argentina,Copado/a,"Cool, great, awesome, nice (person or thing). Used in informal, positive contexts.  Example: ""¡Qué copada tu remera!"" (Your t-shirt is so cool!).","Informal,Positive,Slang"
es-AR,SLANG,Argentina,Engrupir,"To deceive, trick, con.  Originates from the Genovese word ""gróppo"" (knot, implying trickery).  It is understood and commonly used in Argentina. Example: ""Me engrupió con una historia falsa."" (He tricked me with a false story.)","Slang,Deception,Genovese origin"
es-AR,SLANG,Argentina,Facha,"Good looks, appearance, face; a good-looking person.  Originates from the Italian word ""faccia"" (face).  It's used to describe someone's attractive appearance. Example: ""Tiene buena facha ese actor."" (That actor has good looks.)","Slang,Appearance,Italian origin"
es-AR,SLANG,Argentina,Fato,"Affair, business, matter (often illicit or secret).  Originates from the Italian word ""fatto"" (done, fact).  Example: ""Tenía un fato con el jefe."" (He had an affair/deal with the boss.)","Lunfardo,Secret,Informal"
es-AR,SLANG,Argentina,Feca,"Slang term for ""coffee"" in Argentina. It's a reversed spelling of ""café"" (coffee).  Example usage: ""Necesito un feca para despertarme."" (I need a coffee to wake up.)","Slang,Food,Argentina"
es-AR,UNIQUE_CONCEPT,Argentina,Fiaca,"Laziness, lack of energy, unwillingness to do something, lethargy.  Originates from the Italian word ""fiacca"" (weariness, laziness).  It describes a feeling of profound laziness or lack of motivation, going beyond simple tiredness. Example: ""Hoy tengo una fiaca terrible, no quiero hacer nada."" (Today I feel terribly lazy, I don't want to do anything.)","Laziness,Lethargy,ItalianOrigin"
es-AR,SLANG,Argentina,Fierro,"The word ""fierro"" literally means ""iron"" in Spanish.  In Argentinian slang, it commonly refers to a firearm. However, it is also used to describe cars or tools, maintaining the association with something strong and durable made of metal.  The example sentences illustrate its use in both contexts:  ""El tipo andaba con un fierro en la cintura."" (The guy was carrying a gun at his waist.) and ""¡Qué buen fierro tenés!"" (What a great car you have!). The term's versatility highlights its adaptability within Argentinian slang.","Slang,Argentina,Lunfardo"
es-AR,REGIONAL_SLANG,Argentina,Fungi,"In Lunfardo (Argentine slang), ""fungi"" means ""hat"".  The example sentence ""Se puso el fungi y salió"" translates to ""He put on his hat and left.""","Lunfardo,Argentina,Clothing"
es-AR,SLANG,Argentina,Gamba,"In older slang, ""gamba"" means one hundred pesos.  It also means ""leg"".  The word's meaning depends on context.  For example, ""Me costó dos gambas"" means ""It cost me 200 pesos"", while ""Me duele la gamba"" means ""My leg hurts.""","Money,Body Part,Lunfardo"
es-AR,SLANG,Argentina,Gapar,"A slang term meaning ""to pay."" It's the reverse spelling of the standard Spanish word ""pagar"" (to pay).  The example sentence ""Hoy me toca gapar a mí"" translates to ""Today it's my turn to pay.""","Slang,Money,Argentina"
es-AR,SLANG,Argentina,Garpar,"A slang term meaning ""to pay."" It's a vesre (reverse spelling) of ""pagar"" (to pay), and is more commonly used than ""gapar.""  Example: ""Hay que garpar la cuenta."" (We have to pay the bill.)","Slang,Money,Argentina"
es-AR,SLANG,Argentina,Gomina,"Hair gel or brilliantine.  The term also refers, by extension, to a somewhat old-fashioned, dandyish style of hair and appearance.  Example usage: ""Se peinaba con gomina."" (He styled his hair with gel.)","Slang,Hair,Style"
es-AR,SLANG,Argentina,Gomía,"Slang term meaning ""friend"". It's a vesre (reverse spelling) of ""amigo"" (friend).  Example usage:  ""¿Qué hacés, gomía?"" (What are you doing, friend?).","Slang,Vesre,Friendship"
es-AR,SLANG,Argentina,Groso/a,"Awesome, great, brilliant, expert (person); something impressive. Originates from the Portuguese word ""grosso"" (thick, coarse), adopted in Brazil and then Argentina.  Literally means ""thick, big.""  Example: ""Messi es un groso."" (Messi is awesome.)","Slang,Portuguese origin,Loanword"
es-AR,SLANG,Argentina,Guarda,"Means ""Look out! Be careful!""  It's borrowed from the Italian word ""guarda!"" (look!).  Example usage: ""¡Guarda que viene un auto!"" (Look out, a car is coming!).","Warning,Interjection,Italian Origin"
es-AR,SLANG,Argentina,Guita,"Money. Originates from Spanish popular language and is common in Lunfardo (Argentine slang).  Example: ""No tengo guita para el cine."" (I don't have money for the cinema.)","Slang,Lunfardo,Argentina"
es-AR,INSULT,Argentina,Hincha pelotas,"Vulgar slang term meaning ""annoying person"" or ""pain in the ass"".  The literal translation is ""ball itcher/inflater"".  It's used to express frustration with someone who is bothersome. Example usage: ""No seas hincha pelotas y dejame en paz."" (Don't be a pain and leave me alone.)","Slang,Vulgar,Insult"
es-AR,SLANG,Argentina,Joda,"Refers to a party, fun, or a good time.  It can also mean a prank or messing around.  The word's meaning depends on context.  For example, ""Vamos a la joda de Martín"" means ""Let's go to Martin's party,"" while ""Dejate de joder"" means ""Stop messing around.""","Party,Prank,Informal"
es-AR,SLANG,Argentina,Joya,"Means ""Great, cool, perfect, OK.""  It literally translates to ""jewel.""  Used to express agreement or that something is fine.  For example, ""—¿Nos vemos a las cinco? —Joya."" (—Shall we meet at five? —Great.)","Agreement,Informal,Argentina"
es-AR,SLANG,Argentina,Junar,"To look at, to watch, to check out; to know or realize.  This term originates from Lunfardo, a type of Argentinian slang with roots in Caló (the language of the Caló people).  It can be used to describe observing someone ('Lo estuve junando toda la noche.' - I was watching him all night.) or to indicate knowledge or awareness of something or someone ('No juno a ese tipo.' - I don't know that guy.).","Lunfardo,Caló,Argentina"
es-AR,SLANG,Argentina,Laburar,"To work. This is slang, originating from the Italian word ""lavorare"" (to work).  Example: ""Tengo que laburar mañana."" (I have to work tomorrow.)","Slang,Informal,Italian origin"
es-AR,SLANG,Argentina,Laburo,"Means ""work"" or ""job."" It originates from the Italian word ""lavoro"" (work) and is used as slang in Argentina.  Example: ""Conseguí un laburo nuevo."" (I got a new job.)","Slang,Informal,Italian origin"
es-AR,SLANG,Argentina,Ladri,"Thief, scoundrel (often used more broadly than just a literal thief). Origin: Italian ""ladro"" (thief).  It's understood and commonly used in Argentina. Example: ""Ese político es un ladri."" (That politician is a crook.)","Slang,Informal,Italian origin"
es-AR,INSULT,Argentina,Lonyipietro,"A slang term meaning ""fool"" or ""idiot."" It's a complex example of Vesre (a type of reversed wordplay common in Lunfardo, Argentinian slang), possibly derived from ""petrolini"" (meaning clown or fool) or a similar word.  Example usage: ""No seas lonyipietro."" (Don't be a fool.)","Lunfardo,Vesre,Insult"
es-AR,SLANG,Argentina,Lope,"Slang term for ""hair"", a reversed spelling of ""pelo"" (hair).  It is used in the same way as ""pelo"", as illustrated by the example sentence ""Tiene el lope largo"" (He/She has long hair).","Slang,Vesre,Hair"
es-AR,SLANG,Argentina,Lorca,"A slang term for ""heat"" in Argentina. It's a 'vesre' (reverse spelling) of ""calor"" (heat).  Example usage: ""¡Qué lorca hace hoy!"" (It's so hot today!).","Slang,Vesre,Weather"
es-AR,SLANG,Argentina,Luca,"Slang term for one thousand pesos.  Example usage: ""Esto sale dos lucas."" (This costs two thousand pesos).  The term is associated with Lunfardo, a type of Argentinian slang.","Slang,Money,Argentina"
es-AR,SLANG,Argentina,Macana,"A blunder, a mess-up, something unfortunate or annoying; a lie or tall tale.  It can also mean a police truncheon, although this usage is less common now.  The word is versatile and can be used in various contexts to express frustration, disappointment, or to dismiss something as untrue.  Examples include: ""¡Qué macana! Se me rompió el celular."" (What a bummer! My phone broke.) and ""No le creas, es pura macana."" (Don't believe him, it's all BS.)","Slang,Argentina,Versatile"
es-AR,SLANG,Argentina,Mango,"In Argentinian Spanish slang, ""mango"" refers to money, specifically a peso.  The example provided, ""No tengo un mango,"" translates to ""I don't have any money.""","Argentina,Slang,Money"
es-AR,SLANG,Argentina,Manyar,"To eat; to know, to understand. This is a Lunfardo term, originating from the Italian/Venetian word ""magnar"" (to eat).  It has a dual meaning, used both for eating and for understanding.  Example (eat): ""Vamos a manyar algo."" (Let's go eat something.) Example (know): ""¿Manyás lo que te digo?"" (Do you get what I'm saying?)","Lunfardo,Informal,Dual Meaning"
es-AR,SLANG,Argentina,Matina,"Morning (from Italian ""mattina"").  It's a slang term used in Argentina, likely influenced by Italian immigration. Example: ""Nos vemos a la matina."" (See you in the morning.)","Slang,Italian Origin,Time"
es-AR,SLANG,Argentina,Merca,"A derogatory and colloquial slang term for drugs, especially cocaine. It's a shortened form of ""mercadería"" (merchandise).  The example sentence ""Ese lugar es peligroso, venden merca"" translates to ""That place is dangerous, they sell drugs.""  The term carries a negative connotation.","Slang,Drugs,Pejorative"
es-AR,SLANG,Argentina,Mina,"Informal term for ""woman"", ""girl"", or ""chick"". Originating from Lunfardo, Argentine slang with roots in Italian slang (possibly related to ""femmina"" or the idea of something valuable, like a ""mine"").  Its usage can be neutral, but it can also be considered slightly objectifying or dated depending on the speaker and context.  Example: ""Esa mina es muy inteligente."" (That woman is very intelligent.)","Informal,Lunfardo,Potentially Objectifying"
es-AR,SLANG,Argentina,Morfar,"To eat. Originates from Lunfardo, a slang of Buenos Aires, Argentina, derived from the Italian word ""morfa"" (mouth) or a similar dialectal term for eating.  Example: ""¿Qué vamos a morfar hoy?"" (What are we going to eat today?)","Lunfardo,Food,Informal"
es-AR,SLANG,Argentina,Naso,"Means ""nose.""  It's borrowed directly from the Italian word ""naso."" Example usage: ""Tiene un naso grande."" (He has a big nose.)","Slang,Body Part,Italian Origin"
es-AR,SLANG,Argentina,Nerca,"Slang term for ""meat"". It's a reversed spelling of the Spanish word ""carne"" (meat).  Example usage: ""Compramos nerca para el asado."" (We bought meat for the barbecue.)","Slang,Food,Argentina"
es-AR,SLANG,Argentina,Ortiba,"A pejorative slang term meaning ""killjoy, party pooper, uncooperative person, spoilsport"". It originates from ""batidor"" (informer, snitch) through syllable inversion (vesre).  It's widely used and understood, including among youth.  Example: ""No seas ortiba, vení con nosotros."" (Don't be a killjoy, come with us.)","Slang,Pejorative,Youth"
es-AR,SLANG,Argentina,Palo,"In older slang, ""palo"" means one million pesos.  It can also refer to a stick or a ""buck"" (dollar), as seen in the phrase ""palo verde"" (green stick/dollar).  The example sentence ""Ganó un palo en la lotería"" illustrates its use meaning one million pesos won in the lottery.","Money,Slang,Lunfardo"
es-AR,SLANG,Argentina,Percanta,"Young woman, girl. This term originates from Lunfardo, a slang associated with the tango subculture in Argentina.  It's often used in tango lyrics but can be slightly pejorative or dated in modern usage.  Example: ""Una linda percanta pasó por la calle."" (A pretty young woman walked down the street.)","Lunfardo,Tango,Dated"
es-AR,SLANG,Argentina,Pescar,"To understand, to get it (Figurative, like ""to catch on"").  Example: ""¿Pescas la idea?"" (Do you get the idea?). This is a slang term used as a verb to express comprehension.","Slang,Understand,Argentina"
es-AR,SLANG,Argentina,Pibe/Piba,"Kid, boy, young man; girl, young woman. Originating from Lunfardo, derived from the Italian Genovese word ""pivetto"" or Italian slang ""pivello"" (novice, youngster).  It can be used affectionately. Example: ""Los pibes están jugando en la plaza."" (The kids are playing in the square.)","Lunfardo,Italian origin,Affectionate"
es-AR,SLANG,Argentina,Pilcha,"Clothes, outfit, attire.  Originates from the Araucano/Mapudungun words ""pilcha / pulcha"" meaning wrinkle or clothing item.  It is widely used in Argentina. Example: ""Se compró pilcha nueva para la fiesta."" (He/She bought new clothes for the party.)","Slang,Argentina,Araucano/Mapudungun"
es-AR,SLANG,Argentina,Piola,"In Argentine Spanish, ""piola"" can have two distinct meanings.  It can refer to a string or twine, as in ""Dame un piolín para atar esto."" (Give me a string to tie this.).  More commonly, it's used as slang to describe someone as clever, cool, smart, good-natured, or resourceful.  The example ""Es un tipo piola, siempre te ayuda."" (He's a cool/good guy, he always helps you.) illustrates this positive connotation. The word's versatility allows it to be used in various contexts, maintaining its positive and informal tone.","Slang,Positive,Versatile"
es-AR,SLANG,Argentina,Plata,"Money (silver). A very common term for money in Argentina.  Example: ""No tengo plata para salir."" (I don't have money to go out.)","Money,Informal,Argentina"
es-AR,SLANG,Argentina,Posta,"Means ""truth, for real, seriously"".  It originates from the archaic meaning of ""post, relay station"". It is used to affirm something or question its truth.  Example: ""Te lo digo posta, no estoy mintiendo."" (I'm telling you for real, I'm not lying.)","Slang,Argentina,Affirmation"
es-AR,SLANG,Argentina,Pucho,"Cigarette butt; a cigarette; a small amount of something. Originates from the Quechua word ""puchu"" (leftover, remainder). It is widely used in Argentina.","Cigarette,Slang,Quechua"
es-AR,SLANG,Argentina,Putear,"To curse, to swear, to insult someone using strong language.  Example: ""Se puso a putear a todo el mundo."" (He started cursing everyone out.)","Slang,Verb,Insult"
es-AR,UNIQUE_CONCEPT,Argentina,Quilombo,"A mess, chaos, disorder; a complicated or problematic situation.  Originating from the Quimbundo (African language) word ""kilombo"" meaning village, particularly of fugitive slaves in Brazil.  Later, it took on the meaning of brothel in older Lunfardo (Argentine slang).  It has since generalized to mean mess/disorder.  Can be considered vulgar by some. Example: ""¡Qué quilombo es este tráfico!"" (What a mess this traffic is!)","Slang,African origin,Potentially vulgar"
es-AR,SLANG,Argentina,Rajar,"The verb ""rajar"" in Argentine Spanish slang has two main meanings: (1) To fire someone from a job. Example: ""Lo rajaron del laburo."" (They fired him from work.)  (2) To leave quickly, to scram. Example: ""Rajá de acá."" (Scram from here.)","Informal,Verb,Argentina"
es-AR,SLANG,Argentina,Telo,"A pay-by-the-hour hotel used for romantic encounters.  It's a reversed spelling of ""hotel"" (""hotel"" reversed is ""leto"", close to ""telo"") with a specific connotation of short-term stays for intimate purposes.  The example provided shows its use in a sentence: ""Fueron a un telo después del boliche."" (They went to a love hotel after the club.)","Slang,Argentina,Romance"
es-AR,SLANG,Argentina,Tordo,"Slang term for ""doctor"" or ""lawyer"". It's a vesre (reverse spelling) of ""doctor"", and also the name of a bird.  Example usage: ""Tengo cita con el tordo."" (I have an appointment with the doctor/lawyer.)","Slang,Vesre,Profession"
es-AR,SLANG,Argentina,Troesma,"A slang term meaning ""master, teacher, skilled person"". It is a vesre (reverse spelling) of ""maestro"" (master).  Example usage: ""Es un troesma de la guitarra."" (He's a guitar master.)","Slang,Vesre,Skill"
es-AR,SLANG,Argentina,Trucho/a,"Fake, fraudulent, counterfeit, low quality.  Originates from the Spanish word ""trucha"" (trout; astute person), re-signified in Lunfardo (Argentine slang).  Example: ""Este reloj es trucho, no es original."" (This watch is fake, it's not original.)","Slang,Lunfardo,Argentina"
es-AR,SLANG,Argentina,Vento,"In Lunfardo slang, ""vento"" literally means ""wind,"" but it is used to refer to money.  The example sentence ""No tengo vento para eso"" translates to ""I don't have money for that.""","Lunfardo,Money,Argentina"
es-AR,SLANG,Argentina,Yeca,"Slang term for ""street.""  It originates as a reversed spelling of the Spanish word ""calle"" (street). While understood, it's considered somewhat dated or classic Lunfardo (Argentine slang).  Example: ""Lo encontré en la yeca."" (I found him on the street.)","Lunfardo,Vesre,Dated"
es-AR,SLANG,Argentina,Yirar,"To wander, to roam, especially in the context of prostitution.  This term originates from Lunfardo, a type of Argentine slang, and derives from the Italian word ""girare,"" meaning ""to turn"" or ""to wander.""  The example provided, ""La mina yiraba por el centro,"" translates to ""The woman was working the streets downtown,"" illustrating its use in the context of prostitution.  The entry notes that the term is dated.","Lunfardo,Prostitution,Argentina"
es-AR,SLANG,,Yorugua,"Uruguayan (Vesre of ""uruguayo"").  It's a slang term meaning Uruguayan, created by reversing the letters of the word ""uruguayo"". Example: ""Mi vecino es yorugua."" (My neighbor is Uruguayan.)","Slang,Vesre,Nationality"
es-AR,SLANG,Argentina,Yuta,"Slang term for ""police"", often used derogatorily.  It originates from the Italian word ""giusta"" (justice), referring to the police.  It is widely understood in Argentina and carries a pejorative connotation. Example: ""Cuidado que viene la yuta."" (Watch out, the cops are coming.)","Slang,Police,Derogatory"
es-AR,SLANG,Argentina,Zafar,"To get out of a difficult situation, to narrowly escape, to get off the hook.  Example: ""Zafamos de casualidad."" (We got away by sheer luck.)  This slang term implies a fortunate escape from a problematic circumstance.","Escape,Luck,Informal"
es-AR,SLANG,Argentina,Zapi,"A slang term for ""pizza"" in Argentina. It's a reversed spelling of ""pizza"".  Example usage: ""¿Pedimos una zapi?"" (Shall we order a pizza?).","Slang,Food,Argentina"
es-AR,SLANG,Argentina,Zarpado/a,"Intense, extreme; very good, awesome, cool; out of line, over the top (can be positive or negative). The meaning depends heavily on context and intonation. Literally ""having gone too far, excessive.""  Positive example: ""La película estuvo zarpada."" (The movie was awesome.) Negative example: ""Te zarpaste con ese comentario."" (You went too far with that comment.)","Slang,Informal,Context-dependent"
es-AR,YOUTH_SLANG,Argentina,Ahre,"Signals that the previous statement was a joke, ironic, an exaggeration, or not to be taken seriously.  Similar to ""/s"" or ""jk"". Originates from Argentinian youth. Example: ""Soy el mejor jugador del mundo, ahre."" (I'm the best player in the world, ahre [joking]). Often written as ""ahre"".","Youth Slang,Internet Slang,Irony"
es-AR,YOUTH_SLANG,Argentina,Alto/a,"Used as an intensifier meaning ""very,"" ""great,"" or ""a lot of.""  It literally translates to ""high"" or ""tall.""  Example:  ""¡Alta fiesta anoche!"" (Great party last night!).","Intensifier,Youth Slang,Informal"
es-AR,YOUTH_SLANG,Argentina,ATR,"Acronym for ""A Todo Ritmo"" (At Full Rhythm/Pace).  Means very active, energetic, enthusiastic.  Example: ""Hoy salimos ATR."" (Tonight we're going out full energy.)","Youth Slang,Acronym,Energetic"
es-AR,YOUTH_SLANG,Argentina,Cringe,"Embarrassing, something that makes you feel awkward or uncomfortable (second-hand embarrassment). Origin: English loanword, global internet slang.  Example: ""Ese video me dio mucho cringe."" (That video made me cringe a lot.)","Youth Slang,Internet Slang,English Loanword"
es-AR,YOUTH_SLANG,Argentina,De ruta,"Means ""awesome, excellent, cool.""  The literal translation is ""of route,"" implying something that takes you on a journey or is exceptional.  It's used similarly to how one might use ""awesome"" or ""cool"" in English. Example: ""Esa banda es de ruta."" (That band is awesome.)","Youth Slang,Positive,Argentina"
es-AR,YOUTH_SLANG,Argentina,Dou,"Pronounced like ""dough"". An expression of surprise or agreement, similar to ""wow"" or ""for real?"". Popularized by internet culture and streamers.  Example: ""—Me saqué un 10. —¡Dou!"" (—I got a 10. —Wow!)","Surprise,Agreement,Internet Slang"
es-AR,YOUTH_SLANG,Argentina,F,"The letter ""F"" is used to express condolences or acknowledge a misfortune, often humorously or laconically.  It originates from online gaming culture and the phrase ""Press F to pay respects"".  It's used similarly in Spanish-speaking contexts, as shown in the example: ""—Reprobé el examen. —F."" (—I failed the exam. —F.)","Internet slang,Gaming,Condolence"
es-AR,YOUTH_SLANG,Argentina,Flashear,"To imagine things, to be mistaken, to hallucinate; to talk nonsense, to invent things; to be surprised.  The example sentence ""¡La re flasheaste, eso nunca pasó!"" translates to ""You totally imagined that, that never happened!""  This illustrates its use in dismissing something as untrue or fabricated.","Youth Slang,Argentina,Informal"
