"Term_Phrase_Item","Category","Definition_Origin_Example","Tags"
"Joda","SLANG (Slang - General)","Party, fun, a good time; can also mean a prank or messing around. Example: ""Vamos a la joda de Martín."" (Let's go to Martin's party.) / ""Dejate de joder."" (Stop messing around.)","Slang Terms, Noun, Party, Fun, Prank"
"Joya","SLANG (Slang - General)","Great, cool, perfect, OK. (Literally ""jewel""). Context: Used to express agreement or that something is fine. Example: ""—¿Nos vemos a las cinco? —Joya."" (—Shall we meet at five? —Great.)","Slang Terms, agreement"
"Junar","SLANG (Slang - General)","To look at, to watch, to check out; to know or realize (Lunfardo, from Caló). Example: ""Lo estuve junando toda la noche."" (I was watching him all night.) / ""No juno a ese tipo."" (I don't know that guy.)","Slang Terms, Lunfardo, Calo Origin, Look, Know"
"Laburar","SLANG (Slang - General)","To work. Origin: From Italian ""lavorare"" (to work). Example: ""Tengo que laburar mañana."" (I have to work tomorrow.)","Slang Terms, italian origin, loanword"
"Laburo","SLANG (Slang - General)","Work, job. Origin: From Italian ""lavoro"" (work). Example: ""Conseguí un laburo nuevo."" (I got a new job.)","Slang Terms, italian origin, loanword"
"Ladri","SLANG (Slang - General)","Thief, scoundrel (often used more broadly than just a literal thief). Origin: Italian ""ladro"" (thief). Status: Understood, common. Example: ""Ese político es un ladri."" (That politician is a crook.)","Slang Terms, lunfardo, italian origin"
"Lonyipietro","SLANG (Slang - General)","Fool, idiot (complex Vesre, possibly from ""petrolini"" or similar, meaning clown/fool). Example: ""No seas lonyipietro."" (Don't be a fool.)","Slang Terms, Lunfardo, Vesre, Insult"
"Lope","SLANG (Slang - General)","Hair (Vesre of ""pelo""). Example: ""Tiene el lope largo."" (He/She has long hair.)","Slang Terms, Vesre, Body Part"
"Lorca","SLANG (Slang - General)","Heat (Vesre of ""calor""). Example: ""¡Qué lorca hace hoy!"" (It's so hot today!)","Slang Terms, Vesre, Weather"
"Luca","SLANG (Slang - General)","One thousand pesos. Example: ""Esto sale dos lucas."" (This costs two thousand pesos.)","Slang Terms, Lunfardo, Money"
"Macana","SLANG (Slang - General)","A blunder, a mess-up, something unfortunate or annoying; a lie or tall tale. Can also mean a police truncheon (less common now). Example: ""¡Qué macana! Se me rompió el celular."" (What a bummer! My phone broke.) / ""No le creas, es pura macana."" (Don't believe him, it's all BS.)","Slang Terms, misfortune, lie, versatile"
"Mango","SLANG (Slang - General)","Money (specifically, a peso). Example: ""No tengo un mango."" (I don't have any money.)",""
"Manyar","SLANG (Slang - General)","To eat; to know, to understand (Lunfardo, from Italian/Venetian ""magnar"" - to eat). Example (eat): ""Vamos a manyar algo."" (Let's go eat something.) Example (know): ""¿Manyás lo que te digo?"" (Do you get what I'm saying?)","Slang Terms, Lunfardo, Italian Origin, Eat, Know, Understand"
"Matina","SLANG (Slang - General)","Morning (from Italian ""mattina""). Example: ""Nos vemos a la matina."" (See you in the morning.)","Slang Terms, Lunfardo, Italian Origin, Time"
"Merca","SLANG (Slang - General)","(Derogatory/Colloquial) Drugs, especially cocaine. (Short for ""mercadería"" - merchandise). Example: ""Ese lugar es peligroso, venden merca."" (That place is dangerous, they sell drugs.)","Slang Terms, Drugs, Pejorative"
"Mina","SLANG (Slang - General)","(Informal) Woman, girl, chick. Origin: Lunfardo, from Italian slang (possibly related to ""femmina"" or perceived richness/value, like a ""mine""). Context: Can be neutral but sometimes considered slightly objectifying or dated depending on the speaker and context. Example: ""Esa mina es muy inteligente."" (That woman is very intelligent.)","Slang Terms, informal, lunfardo, italian origin, potentially dated, potentially objectifying"
"Morfar","SLANG (Slang - General)","To eat. Origin: Lunfardo, from Italian ""morfa"" (mouth) or a related dialectal term for eating. Example: ""¿Qué vamos a morfar hoy?"" (What are we going to eat today?)","Slang Terms, lunfardo, italian origin"
"Naso","SLANG (Slang - General)","Nose (from Italian ""naso""). Example: ""Tiene un naso grande."" (He has a big nose.)","Slang Terms, Lunfardo, Italian Origin, Body Part"
"Nerca","SLANG (Slang - General)","Meat (Vesre of ""carne""). Example: ""Compramos nerca para el asado."" (We bought meat for the barbecue.)","Slang Terms, Vesre, Food"
"Ortiba","SLANG (Slang - General)","(Pejorative) Killjoy, party pooper, uncooperative person, spoilsport. Origin: Vesre (syllable inversion) of ""batidor"" (informer, snitch). Status: Widely used, understood. Also used by youth. Example: ""No seas ortiba, vení con nosotros."" (Don't be a killjoy, come with us.)","Slang Terms, lunfardo, pejorative, vesre, youth usage"
"Palo","SLANG (Slang - General)","One million pesos (older slang); also a stick or a ""buck"" (dollar, in ""palo verde""). Example: ""Ganó un palo en la lotería."" (He won a million pesos in the lottery.)","Slang Terms, Lunfardo, Money"
"Percanta","SLANG (Slang - General)","Young woman, girl (Lunfardo, often used in tango lyrics, can be slightly pejorative or dated). Example: ""Una linda percanta pasó por la calle."" (A pretty young woman walked down the street.)","Slang Terms, Lunfardo, People, Tango, Dated"
"Pescar","SLANG (Slang - General)","To understand, to get it (Figurative, like ""to catch on""). Example: ""¿Pescas la idea?"" (Do you get the idea?)","Slang Terms, Verb, Understand"
"Pibe/Piba","SLANG (Slang - General)","Kid, boy, young man; girl, young woman. Origin: Lunfardo, from Italian Genovese ""pivetto"" or Italian slang ""pivello"" (novice, youngster). Can be affectionate. Example: ""Los pibes están jugando en la plaza."" (The kids are playing in the square.)","Slang Terms, lunfardo, italian origin, affectionate"
"Pilcha","SLANG (Slang - General)","Clothes, outfit, attire. Origin: Araucano/Mapudungun ""pilcha / pulcha"" (wrinkle; clothing item). Status: Widely used. Example: ""Se compró pilcha nueva para la fiesta."" (He/She bought new clothes for the party.)","Slang Terms, lunfardo, araucano/mapudungun origin"
"Piola","SLANG (Slang - General)","Clever, cool, smart, good-natured, resourceful. Can also mean string/twine. Example: ""Es un tipo piola, siempre te ayuda."" (He's a cool/good guy, he always helps you.) / ""Dame un piolín para atar esto."" (Give me a string to tie this.)","Slang Terms, positive, versatile"
"Plata","SLANG (Slang - General)","Money (silver). A very common term for money. Example: ""No tengo plata para salir."" (I don't have money to go out.)","Slang Terms, Noun, Money"
"Posta","SLANG (Slang - General)","Truth, for real, seriously. Origin: Literally ""post, relay station"" (archaic). Context: Used to affirm something or question its truth. Example: ""Te lo digo posta, no estoy mintiendo."" (I'm telling you for real, I'm not lying.)","Slang Terms, affirmation"
"Pucho","SLANG (Slang - General)","Cigarette butt; a cigarette; a small amount of something. Origin: Quechua ""puchu"" (leftover, remainder). Status: Widely used. Example: ""Dame un pucho."" (Give me a cigarette.)","Slang Terms, lunfardo, quechua origin"
"Putear","SLANG (Slang - General)","To curse, to swear, to insult someone using strong language. Example: ""Se puso a putear a todo el mundo."" (He started cursing everyone out.)","Slang Terms, Verb, Insult, Vulgar"
"Quilombo","SLANG (Slang - General)","A mess, chaos, disorder; a complicated or problematic situation. Origin: From Quimbundo (African language) ""kilombo"" (village, particularly of fugitive slaves in Brazil), then to mean brothel (older Lunfardo meaning), then generalized to mess/disorder. Can be considered vulgar by some. Example: ""¡Qué quilombo es este tráfico!"" (What a mess this traffic is!)","Slang Terms, african origin, lunfardo, potentially vulgar, unique concept"
"Rajar","SLANG (Slang - General)","(1) To fire someone from a job. (2) To leave quickly, to scram. Example (1): ""Lo rajaron del laburo."" (They fired him from work.) Example (2): ""Rajá de acá."" (Scram from here.)","Slang Terms, Verb, Work, Leaving"
"Telo","SLANG (Slang - General)","A pay-by-the-hour hotel used for romantic encounters (Vesre of ""hotel,"" with a specific connotation). Example: ""Fueron a un telo después del boliche."" (They went to a love hotel after the club.)","Slang Terms, Vesre, Place, Romantic"
"Tordo","SLANG (Slang - General)","Doctor or lawyer (Vesre of ""doctor,"" tordo is also a bird name). Example: ""Tengo cita con el tordo."" (I have an appointment with the doctor/lawyer.)","Slang Terms, Vesre, Profession"
"Troesma","SLANG (Slang - General)","Master, teacher, skilled person (Vesre of ""maestro""). Example: ""Es un troesma de la guitarra."" (He's a guitar master.)","Slang Terms, Vesre, Skill, Respect"
"Trucho/a","SLANG (Slang - General)","Fake, fraudulent, counterfeit, low quality. Origin: From Spanish ""trucha"" (trout; astute person), re-signified in Lunfardo. Example: ""Este reloj es trucho, no es original."" (This watch is fake, it's not original.)","Slang Terms, lunfardo"
"Vento","SLANG (Slang - General)","Money (Lunfardo, literally ""wind""). Example: ""No tengo vento para eso."" (I don't have money for that.)","Slang Terms, Lunfardo, Money"
"Yeca","SLANG (Slang - General)","Street. Origin: Vesre of Spanish ""calle"" (street). Status: Understood, but sounds somewhat dated or classic Lunfardo. Example: ""Lo encontré en la yeca."" (I found him on the street.)","Slang Terms, lunfardo, vesre, dated, classic lunfardo"
"Yirar","SLANG (Slang - General)","To wander, to roam, especially in the context of prostitution (Lunfardo, from Italian ""girare"" - to turn, to wander). Example: ""La mina yiraba por el centro."" (The woman was working the streets downtown.)","Slang Terms, Lunfardo, Verb, Prostitution, Dated"
"Yorugua","SLANG (Slang - General)","Uruguayan (Vesre of ""uruguayo""). Example: ""Mi vecino es yorugua."" (My neighbor is Uruguayan.)","Slang Terms, Vesre, Nationality"
"Yuta","SLANG (Slang - General)","Police (often derogatory). Origin: Italian ""giusta"" (justice, referring to police). Status: Widely understood, often pejorative. Example: ""Cuidado que viene la yuta."" (Watch out, the cops are coming.)","Slang Terms, lunfardo, italian origin, derogatory, pejorative"
"Zafar","SLANG (Slang - General)","To get out of a difficult situation, to narrowly escape, to get off the hook. Example: ""Zafamos de casualidad."" (We got away by sheer luck.)","Slang Terms, Verb, Escape, Luck"
"Zapi","SLANG (Slang - General)","Pizza (Vesre of ""pizza""). Example: ""¿Pedimos una zapi?"" (Shall we order a pizza?)","Slang Terms, Vesre, Food"
"Zarpado/a","SLANG (Slang - General)","Intense, extreme; very good, awesome, cool; out of line, over the top (can be positive or negative). Context: Meaning depends heavily on context and intonation. Literally ""having gone too far, excessive."" Example (positive): ""La película estuvo zarpada."" (The movie was awesome.) Example (negative): ""Te zarpaste con ese comentario."" (You went too far with that comment.)","Slang Terms, context dependent, unique concept"
"Ahre","YOUTH_SLANG (Youth Slang)","(Often written as ""ahre"") Signals that the previous statement was a joke, ironic, an exaggeration, or not to be taken seriously. Similar to ""/s"" or ""jk"". Origin: Argentinian youth creation. Example: ""Soy el mejor jugador del mundo, ahre."" (I'm the best player in the world, ahre [joking].)","Slang Terms, Youth Slang, internet culture, irony, sarcasm, joke"
"Alto/a","YOUTH_SLANG (Youth Slang)","(Intensifier) Very, great, a lot of. (Literally ""high, tall""). Example: ""¡Alta fiesta anoche!"" (Great party last night!)","Slang Terms, Youth Slang, intensifier"
"ATR","YOUTH_SLANG (Youth Slang)","Acronym for ""A Todo Ritmo"" (At Full Rhythm/Pace). Means very active, energetic, enthusiastic. Example: ""Hoy salimos ATR."" (Tonight we're going out full energy.)","Slang Terms, Youth Slang, acronym, energetic"
"Cringe","YOUTH_SLANG (Youth Slang)","Embarrassing, something that makes you feel awkward or uncomfortable (second-hand embarrassment). Origin: English loanword, global internet slang. Example: ""Ese video me dio mucho cringe."" (That video made me cringe a lot.)","Slang Terms, Youth Slang, english loanword, internet slang"
"De ruta","YOUTH_SLANG (Youth Slang)","Awesome, excellent, cool (literally ""of route,"" implying something that takes you on a journey/is exceptional). Example: ""Esa banda es de ruta."" (That band is awesome.)","Youth Slang, Expression, Positive"
"Dou","YOUTH_SLANG (Youth Slang)","(Pronounced like ""dough"") An expression of surprise or agreement, similar to ""wow"" or ""for real?"". Popularized by internet culture/streamers. Example: ""—Me saqué un 10. —¡Dou!"" (—I got a 10. —Wow!)","Youth Slang, Interjection, Surprise, Agreement, Internet Culture"
"F","YOUTH_SLANG (Youth Slang)","(Letter) Used to express condolences or acknowledge a misfortune, often humorously or laconically. Origin: Gaming culture (""Press F to pay respects""). Example: ""—Reprobé el examen. —F."" (—I failed the exam. —F.)","Slang Terms, Youth Slang, gaming culture, internet slang, humorous"
"Flashear","YOUTH_SLANG (Youth Slang)","To imagine things, to be mistaken, to hallucinate; to talk nonsense, to invent things; to be surprised. Example: ""¡La re flasheaste, eso nunca pasó!"" (You totally imagined that, that never happened!)","Slang Terms, Youth Slang"
"Flashero/a","YOUTH_SLANG (Youth Slang)","Trippy, mind-bending, surprising, or someone who imagines crazy things. Related to ""flash/flashear"". Example: ""La película fue re flashera."" (The movie was super trippy.) / ""Es un flashero, siempre inventa historias."" (He's a daydreamer/BS-er, always making up stories.)","Youth Slang, Slang Terms, surprising, imaginative"
"Funar","YOUTH_SLANG (Youth Slang)","To ""cancel"" someone, to publicly denounce or criticize someone, especially online. Origin: Internet slang, from Chilean Spanish, adopted by youth in Argentina. Example: ""Lo funaron en Twitter por sus comentarios."" (They ""cancelled"" him on Twitter for his comments.)","Slang Terms, Youth Slang, internet slang, cancel culture, chilean spanish origin"
"GOD","YOUTH_SLANG (Youth Slang)","(Adjective) Excellent, amazing, top-tier. Origin: English loanword, internet/gaming slang. Example: ""Este tema nuevo es God."" (This new song is amazing.)","Slang Terms, Youth Slang, english loanword, internet slang, gaming slang"
"Limado/a (estar)","YOUTH_SLANG (Youth Slang)","Crazy, nuts, eccentric; to be crazy. (Literally ""filed down""). Example: ""Ese tipo está re limado."" (That guy is totally crazy.)","Slang Terms, Youth Slang"
"Manija (estar)","YOUTH_SLANG (Youth Slang)","To be very excited, anxious, or hyped up for something. (Literally ""handle""). Example: ""Estoy re manija por el concierto de mañana."" (I'm super hyped for tomorrow's concert.)","Slang Terms, Youth Slang"
"Messirve","YOUTH_SLANG (Youth Slang)","(Playful coinage: ""me sirve"" + footballer Messi) It's useful to me / I like it / It works for me (often implying something is exceptionally good or perfectly suited). Example: ""—¿Te parece si vamos al cine? —Messirve."" (—How about we go to the movies? —That works perfectly for me.)","Slang Terms, Youth Slang, coinage, cultural reference (Messi)"
"Milipili","YOUTH_SLANG (Youth Slang)","(Pejorative stereotype) A stereotypical superficial, wealthy young woman, often focused on appearances and social status. (Combination of common names Milagros and Pilar). Example: ""Las milipilis siempre están en el shopping."" (The ""milipilis"" are always at the mall.)","Slang Terms, Youth Slang, pejorative, stereotype"
"Nashe","YOUTH_SLANG (Youth Slang)","Very good, awesome, cool. Often used with an air of confidence or swagger. Origin: Youth slang, popularized by streamer Coscu. Origin unclear. Example: ""Esa jugada fue nashe."" (That play was awesome.)","Slang Terms, Youth Slang, internet culture (Coscu)"
"Ndeah","YOUTH_SLANG (Youth Slang)","Similar to ""ahre,"" used to denote sarcasm or that something isn't serious. Often associated with a specific internet/meme culture.","Slang Terms, Youth Slang, internet culture, meme culture, sarcasm"
"Ponerse/Sacarse la gorra","YOUTH_SLANG (Youth Slang)","To get serious and start enforcing rules, to be a killjoy / To stop acting like an authority figure, to loosen up. (Literally ""to put on/take off the cap,"" like a police cap). Example: ""¡Dale, sacate la gorra y divertite!"" (Come on, loosen up and have fun!)","Slang Terms, Youth Slang, idiom"
"Previa","YOUTH_SLANG (Youth Slang)","Pre-party, pre-game; a gathering (usually to drink alcohol) before going out to a main event. (Literally ""previous""). Example: ""Hacemos la previa en mi casa y después vamos al boliche."" (We'll pre-party at my place and then go to the club.)","Slang Terms, Youth Slang"
"Re","YOUTH_SLANG (Youth Slang)","(Intensifier) Very, really, super. Placed before an adjective or adverb. Example: ""Estoy re cansado."" (I'm super tired.) / ""La pasamos re bien."" (We had a really good time.)","Youth Slang, Slang Terms, Intensifier"
"Salir de joda / Irse de joda","YOUTH_SLANG (Youth Slang)","To go out partying, to go have fun (often involving drinking and dancing). Example: ""Los pibes se fueron de joda anoche."" (The kids went out partying last night.)","Youth Slang, Slang Terms, Idiom, Partying, Fun"
"Skere","YOUTH_SLANG (Youth Slang)","A term often used to express excitement or approval, similar to ""let's get it"" or ""cool."" Popularized by trap music. Example: ""¡Vamos a la joda! ¡Skere!"" (Let's go to the party! Skere!)",""
